when,lat,lon,p_centre,p_env,depth,fit_depth,scale_km,fit_rms,grad_hpa_per_100km,vg_kt,vgeo_kt,wind_kt,gust_kt,wind_lat,wind_lon,wind_dist_km
2020-10-01 00,43.25,203.75,976.8,1003.0,26.3,26.4,430.0,1.68,6.141,46.7,83.6,46.4,66.3,41.0,203.0,258.0
2020-10-01 00,55.0,202.0,977.9,1001.3,23.3,27.5,710.0,0.46,3.866,34.1,44.1,29.0,40.4,52.25,196.75,462.0
2020-10-01 00,43.0,153.25,997.4,1014.3,17.0,16.6,380.0,0.68,4.356,35.4,59.6,33.4,45.0,44.5,153.5,168.0
2020-10-01 00,40.75,172.75,1003.6,1016.2,12.6,12.2,340.0,0.59,3.585,30.4,51.3,32.7,46.1,39.25,171.0,224.0
2020-10-01 06,43.75,205.5,973.1,1005.0,32.0,32.8,480.0,1.67,6.831,51.8,92.2,44.1,63.6,43.0,204.75,103.0
2020-10-01 06,56.75,200.0,983.7,1002.6,18.9,22.2,710.0,0.25,3.122,28.2,34.8,28.8,49.1,54.25,193.75,482.0
2020-10-01 06,43.5,154.0,997.6,1013.7,16.1,15.7,370.0,0.88,4.237,34.3,57.4,33.6,43.4,44.5,153.5,118.0
2020-10-01 06,39.75,176.0,1004.3,1015.3,11.0,10.6,350.0,0.54,3.037,27.5,44.3,31.3,42.5,38.0,172.75,342.0
2020-10-01 12,45.25,206.25,969.0,1005.1,36.1,37.3,500.0,2.1,7.468,55.3,98.1,42.5,63.8,44.5,207.75,145.0
2020-10-01 12,57.5,197.5,987.8,1002.8,14.9,16.9,640.0,0.51,2.639,23.9,29.2,25.7,36.5,57.5,204.5,418.0
2020-10-01 12,44.0,155.5,1000.0,1014.9,14.9,14.7,380.0,0.81,3.869,32.3,52.0,28.2,39.4,45.25,155.75,140.0
2020-10-01 12,38.25,179.25,1004.6,1015.4,10.8,10.4,350.0,0.43,2.977,27.5,44.9,29.1,38.6,37.25,174.25,453.0
2020-10-01 12,35.75,149.0,1006.8,1012.5,5.7,5.7,330.0,0.51,1.729,18.6,27.6,29.2,41.2,35.0,149.25,86.0
2020-10-01 18,47.0,207.0,968.7,1005.8,37.1,39.0,540.0,2.05,7.229,54.6,92.2,43.5,62.6,46.25,209.0,174.0
2020-10-01 18,44.0,156.75,1000.3,1014.3,13.9,14.1,480.0,0.94,2.935,27.8,39.4,28.7,39.1,44.75,156.0,103.0
2020-10-01 18,37.25,181.25,1004.7,1014.5,9.8,9.5,340.0,0.43,2.788,26.3,43.0,28.1,37.8,35.0,177.5,420.0
2020-10-02 00,49.25,208.5,968.4,1005.4,36.9,39.6,570.0,2.02,6.94,53.0,85.5,45.1,63.2,49.0,211.25,202.0
2020-10-02 00,44.5,159.0,1000.8,1014.0,13.2,13.8,540.0,0.8,2.563,25.5,34.1,30.0,43.1,40.25,158.0,480.0
2020-10-02 00,35.5,184.0,1005.1,1013.6,8.6,8.2,350.0,0.43,2.353,23.9,37.8,26.9,35.4,36.0,184.75,88.0
2020-10-02 06,52.75,208.25,968.9,1005.0,36.2,39.0,600.0,1.49,6.5,50.0,76.2,41.4,57.8,51.25,211.75,292.0
2020-10-02 06,44.75,162.0,997.3,1011.9,14.6,15.5,560.0,0.59,2.763,27.2,36.6,31.9,46.1,42.25,164.5,343.0
2020-10-02 06,34.5,185.25,1005.1,1012.5,7.4,7.2,360.0,0.3,2.009,21.6,33.1,25.7,34.0,33.0,180.25,491.0
2020-10-02 12,54.75,207.75,970.9,1002.9,32.0,34.5,580.0,1.44,5.941,45.8,67.9,38.5,52.4,54.5,212.25,291.0
2020-10-02 12,57.75,189.5,988.7,997.6,8.9,19.0,1200.0,0.56,1.583,16.2,17.5,21.5,28.1,59.25,182.5,439.0
2020-10-02 12,45.0,175.5,995.1,1006.2,11.1,11.7,540.0,0.43,2.175,22.2,28.7,31.3,42.5,42.75,172.0,376.0
2020-10-02 12,34.5,185.25,1006.0,1011.6,5.5,5.5,320.0,0.39,1.711,18.6,28.2,23.9,32.9,35.0,186.25,107.0
2020-10-02 18,56.5,204.5,975.5,1000.2,24.7,29.4,700.0,0.75,4.204,36.0,47.0,37.4,52.2,57.75,209.5,332.0
2020-10-02 18,45.5,179.0,989.0,1003.6,14.6,15.6,570.0,0.52,2.739,26.9,35.8,33.9,49.1,42.5,182.0,411.0
2020-10-03 00,46.0,184.5,982.8,1001.4,18.7,19.2,480.0,1.02,3.994,34.6,51.8,35.4,48.6,43.5,188.0,392.0
2020-10-03 06,46.5,189.0,981.3,1001.6,20.3,20.7,480.0,1.18,4.321,36.5,55.6,33.8,47.0,43.25,191.75,421.0
2020-10-03 06,36.25,217.5,1013.5,1019.2,5.7,5.3,240.0,0.46,2.217,20.4,35.0,29.0,42.0,35.25,216.25,158.0
2020-10-03 12,47.5,193.25,981.8,1002.4,20.6,21.7,520.0,1.09,4.164,35.9,52.7,35.4,52.7,45.5,199.0,493.0
2020-10-03 12,37.5,218.5,1012.6,1018.7,6.1,5.7,240.0,0.59,2.388,21.2,36.6,30.1,37.6,37.5,218.0,44.0
2020-10-03 18,48.75,197.75,984.6,1004.2,19.6,20.9,550.0,1.02,3.805,33.6,47.2,35.3,47.4,48.25,204.0,464.0
2020-10-03 18,37.5,219.0,1014.2,1020.0,5.8,5.6,210.0,0.69,2.645,21.9,40.5,26.0,36.4,37.5,218.25,66.0
2020-10-04 00,51.0,203.0,986.3,1006.1,19.8,21.0,540.0,1.02,3.889,33.4,46.7,34.2,47.2,49.5,209.5,491.0
2020-10-04 00,37.75,219.75,1014.0,1019.1,5.1,5.0,190.0,0.81,2.626,21.0,40.0,23.3,31.0,37.75,218.75,88.0
2020-10-04 06,53.0,207.0,988.5,1007.9,19.4,20.5,570.0,0.74,3.598,31.3,42.0,30.1,42.2,53.25,213.75,451.0
2020-10-04 12,55.0,210.5,988.9,1008.3,19.4,20.3,560.0,0.51,3.618,30.9,41.2,29.0,39.7,55.25,218.0,477.0
2020-10-04 18,56.75,212.0,986.9,1007.8,20.9,21.9,550.0,0.86,3.98,32.8,44.4,30.2,44.2,57.75,220.0,494.0
2020-10-04 18,53.25,144.25,999.3,1011.2,11.9,12.7,450.0,0.76,2.822,24.5,32.9,26.1,35.9,53.75,141.0,222.0
2020-10-05 00,58.0,212.5,980.5,1006.9,26.5,27.2,480.0,1.73,5.667,41.4,62.4,36.0,53.2,60.0,216.75,330.0
2020-10-05 00,53.5,145.25,1000.7,1010.3,9.6,10.8,510.0,0.92,2.118,19.8,24.6,26.6,34.9,55.25,139.75,406.0
2020-10-05 06,46.0,146.5,992.8,1007.1,14.3,18.0,740.0,1.16,2.428,25.4,31.5,30.0,43.6,47.75,140.5,496.0
2020-10-05 12,48.5,146.5,987.4,1007.5,20.2,22.9,610.0,2.02,3.754,34.1,46.8,28.1,38.3,50.25,141.0,443.0
