track,when,lat,lon,lead_h,hf24,hf48,depth,scale_km,grad,vg_kt,gust_kt,p_centre,up_high_hpa,up_high_rel,down_low_hpa,down_low_rel,thick_anom_m,thick_anom_east_m,thick_m,trough_km,trough_bearing,trough_anom_m,sst_grad,sst_c,hvtl,hvtu
3,2020-10-01 12,38.25,179.25,nan,0,0,10.8,350.0,2.977,27.5,38.6,1004.6,1020.9416438659373,16.366265447968544,989.4212360730306,-15.154142344938123,134.99755859375,-138.1782332151421,5783.6787109375,1977.9885030018015,355.57267192829937,-152.90185546875,3.556483030319214,19.976556396484398,-277.4073181152344,-154.18862915039062
14,2020-10-09 12,40.75,173.0,nan,0,0,8.2,300.0,2.617,23.4,41.3,1009.0,1029.9305069442182,20.948451280155723,1008.7585060594663,-0.22354960459620088,110.74755859375,51.63220914348909,5725.53759765625,1584.6369474636347,359.23854875659174,-237.07958984375,9.365330696105957,19.024560546875023,-458.8430480957031,-249.5931854248047
30,2020-10-15 00,51.0,151.25,nan,0,0,9.4,330.0,2.991,24.4,48.4,999.1,1027.5915199222827,28.512235254313964,996.0441676699045,-3.035116998064268,-134.81689453125,98.85534436576316,5268.31494140625,1330.7943292578036,313.7977100108294,-360.33154296875,9.509137153625488,10.017205810546898,-104.75627899169922,-540.1246948242188
26,2020-10-15 00,45.0,206.0,nan,0,0,22.1,540.0,4.327,38.1,63.3,996.6,1036.0302690647914,39.407710471041355,1013.8271275086923,17.204568914942342,177.42822265625,133.82867611723805,5665.45068359375,1616.389859806138,222.96308844985796,-302.79150390625,2.8987340927124023,13.564782714843773,-193.87960815429688,-385.4374694824219
50,2020-10-21 06,54.75,165.75,nan,0,0,23.7,440.0,5.374,39.6,56.0,993.8,1026.9717240567545,33.18180706456701,1001.2367278432272,7.446810851039686,-3.24560546875,9.90624892487756,5339.3037109375,695.1822614054714,181.32248443424817,-291.5009765625,24.326377868652344,7.666345214843773,63.77555465698242,-80.82791900634766
46,2020-10-21 06,39.0,195.75,nan,0,0,8.8,830.0,1.474,18.6,31.6,1003.0,1013.6625767052153,10.639200240371565,1012.8927308587315,9.869354393887761,25.96923828125,55.764680862858114,5627.13330078125,1993.3324113855342,291.8174701752964,-202.0791015625,2.8371646404266357,17.205957031250023,-56.9686279296875,-65.41791534423828
66,2020-10-26 12,32.0,201.0,nan,0,0,5.7,750.0,0.924,13.9,33.8,1013.7,1024.070181907024,10.361563742961607,1016.9930571408477,3.284438976785168,-18.58154296875,-37.4878099726345,5653.0400390625,472.9106609077857,266.62580882842406,-163.1650390625,2.213021755218506,24.523950195312523,-141.84588623046875,-154.0516815185547
69,2020-10-28 12,33.75,201.75,nan,0,0,9.1,690.0,1.537,20.4,41.1,1008.2,1024.9681863306412,16.803025197828674,1012.9246975769843,4.759536444171772,-47.13720703125,-13.1503775449496,5602.5234375,278.9742775207181,184.7530368360428,-199.880859375,2.326089382171631,23.614648437500023,1.054673433303833,-133.483154296875
81,2020-11-01 00,47.5,165.0,nan,0,0,29.0,570.0,5.392,44.6,65.4,987.6,1029.9879076860238,42.357109346180096,1001.3758568047155,13.745058464871704,-69.24755859375,6.971159604097934,5365.033203125,202.31999155355535,343.85222625540104,-283.2666015625,5.957982063293457,10.627587890625023,-74.55343627929688,-354.7136535644531
98,2020-11-04 12,56.0,145.0,nan,0,0,26.0,390.0,6.815,45.2,52.3,970.3,1016.4300292426785,46.08322748486603,974.437937151161,4.091135393348509,-97.32177734375,158.61891234555108,5234.7998046875,222.96060973633843,183.99842068307,-447.5361328125,14.640690803527832,3.7258239746093977,187.46653747558594,14.386616706848145
