id,season,onset,lead_h,when,lat,lon,p_centre,depth,scale_km,grad_hpa_per_100km,vg_kt,gust_kt,step_km,identifiable
2020202105,2020,2020-11-15 00,0,2020-11-15 00,50.75,224.5,974.0,34.0,390.0,8.742,55.1,71.0,0.0,1
2020202105,2020,2020-11-15 00,6,2020-11-14 18,50.25,221.0,982.5,25.8,400.0,6.506,45.5,59.4,254.0,1
2020202105,2020,2020-11-15 00,12,2020-11-14 12,49.25,215.75,987.3,21.5,320.0,6.598,43.1,59.7,393.0,1
2020202105,2020,2020-11-15 00,18,2020-11-14 06,48.75,210.75,995.2,15.7,340.0,4.499,33.7,47.2,369.0,1
2020202105,2020,2020-11-15 00,24,2020-11-14 00,48.25,206.0,1000.9,12.2,320.0,3.635,28.5,40.7,354.0,1
2020202105,2020,2020-11-15 00,30,2020-11-13 18,47.5,200.75,1006.2,9.8,280.0,3.298,25.7,36.5,400.0,1
2020202105,2020,2020-11-15 00,36,2020-11-13 12,46.5,195.5,1010.8,8.2,260.0,2.969,23.5,37.2,413.0,1
2020202105,2020,2020-11-15 00,42,2020-11-13 06,45.75,190.75,1014.3,6.7,230.0,2.689,21.3,34.2,375.0,1
2020202105,2020,2020-11-15 00,48,2020-11-13 00,44.25,185.25,1017.4,5.4,250.0,2.004,17.8,35.8,463.0,1
2020202105,2020,2020-11-15 00,54,2020-11-12 18,43.0,181.5,1018.8,5.1,280.0,1.661,16.0,39.3,332.0,1
2020202105,2020,2020-11-15 00,60,2020-11-12 12,42.0,174.25,1018.9,5.7,240.0,2.322,20.0,43.6,604.0,0
2020202105,2020,2020-11-15 00,66,2020-11-12 06,41.75,168.25,1017.0,6.9,220.0,3.091,23.9,44.5,497.0,1
2020202105,2020,2020-11-15 00,72,2020-11-12 00,41.5,165.0,1017.4,7.2,300.0,2.392,21.8,39.3,272.0,1
2020202105,2020,2020-11-15 00,78,2020-11-11 18,41.5,162.0,1018.4,5.2,390.0,1.287,14.2,39.2,250.0,1
2020202105,2020,2020-11-15 00,84,2020-11-11 12,43.25,156.5,1018.4,5.2,360.0,1.35,14.3,40.6,492.0,1
2020202105,2020,2020-11-15 00,90,2020-11-11 06,45.5,150.0,1016.2,5.4,180.0,2.843,20.6,38.2,574.0,0
2020202105,2020,2020-11-15 00,96,2020-11-11 00,50.0,145.75,1018.1,0.9,150.0,0.494,5.0,33.6,593.0,0
2020202111,2020,2020-12-12 00,0,2020-12-12 00,39.5,209.0,983.3,25.5,410.0,6.176,47.5,76.0,0.0,1
2020202111,2020,2020-12-12 00,6,2020-12-11 18,38.0,205.0,988.6,20.8,350.0,5.765,43.5,62.6,385.0,1
2020202111,2020,2020-12-12 00,12,2020-12-11 12,36.5,201.75,993.1,15.9,390.0,3.974,35.4,60.1,332.0,1
2020202111,2020,2020-12-12 00,18,2020-12-11 06,34.75,195.75,999.4,10.2,330.0,2.968,27.9,55.3,576.0,0
2020202111,2020,2020-12-12 00,24,2020-12-11 00,34.25,192.25,1001.7,6.4,430.0,1.456,17.7,42.3,326.0,1
2020202111,2020,2020-12-12 00,30,2020-12-10 18,34.0,188.25,1004.2,4.2,400.0,1.016,13.1,37.8,369.0,1
2020202111,2020,2020-12-12 00,36,2020-12-10 12,36.25,184.0,1004.5,1.4,420.0,0.309,4.5,32.7,460.0,0
2020202111,2020,2020-12-12 00,42,2020-12-10 06,41.0,181.0,1000.5,-1.3,690.0,-0.113,,44.8,589.0,0
2020202111,2020,2020-12-12 00,48,2020-12-10 00,48.25,176.75,977.3,22.4,1100.0,3.668,37.4,59.0,873.0,0
2020202111,2020,2020-12-12 00,54,2020-12-09 18,53.0,172.25,976.2,28.0,710.0,4.665,40.3,64.8,616.0,0
2020202111,2020,2020-12-12 00,60,2020-12-09 12,55.25,169.5,996.8,8.0,1200.0,1.308,13.9,59.7,308.0,1
2020202111,2020,2020-12-12 00,66,2020-12-09 06,56.0,162.75,997.1,7.9,480.0,1.765,16.5,35.0,432.0,1
2020202111,2020,2020-12-12 00,72,2020-12-09 00,54.5,155.0,1000.9,6.1,870.0,0.98,10.5,39.4,518.0,0
2020202111,2020,2020-12-12 00,78,2020-12-08 18,53.75,151.5,1001.6,6.1,1070.0,0.957,10.4,42.1,243.0,1
2020202111,2020,2020-12-12 00,84,2020-12-08 12,54.5,151.75,1000.6,7.1,940.0,1.115,11.9,39.3,85.0,1
2020202111,2020,2020-12-12 00,90,2020-12-08 06,57.75,150.25,998.5,8.1,560.0,1.557,14.9,27.1,373.0,1
2020202111,2020,2020-12-12 00,96,2020-12-08 00,58.75,148.25,998.0,8.8,460.0,1.968,17.6,30.3,161.0,1
2020202117,2020,2020-12-23 00,0,2020-12-23 00,58.0,211.5,977.4,17.4,500.0,3.577,29.3,69.4,0.0,1
2020202117,2020,2020-12-23 00,6,2020-12-22 18,59.0,206.25,977.9,10.4,1200.0,1.808,18.1,77.3,325.0,1
2020202117,2020,2020-12-23 00,12,2020-12-22 12,59.5,195.75,964.5,20.5,1200.0,3.33,31.3,55.8,599.0,0
2020202117,2020,2020-12-23 00,18,2020-12-22 06,57.5,184.5,954.2,28.3,700.0,4.924,40.6,56.3,689.0,0
2020202117,2020,2020-12-23 00,24,2020-12-22 00,55.75,178.0,972.0,11.5,1200.0,1.943,19.9,52.8,442.0,1
2020202117,2020,2020-12-23 00,30,2020-12-21 18,52.0,174.5,973.0,11.7,1200.0,2.005,21.3,48.4,476.0,1
2020202117,2020,2020-12-23 00,36,2020-12-21 12,50.25,173.75,970.2,16.1,1150.0,2.698,28.2,52.9,202.0,1
2020202117,2020,2020-12-23 00,42,2020-12-21 06,49.0,177.0,962.7,22.0,770.0,3.701,35.2,53.0,272.0,1
2020202117,2020,2020-12-23 00,48,2020-12-21 00,48.0,176.25,967.2,18.3,1010.0,3.066,31.8,60.3,124.0,1
2020202117,2020,2020-12-23 00,54,2020-12-20 18,47.0,171.75,965.4,21.7,730.0,3.789,36.1,66.4,356.0,1
2020202117,2020,2020-12-23 00,60,2020-12-20 12,48.5,166.0,964.6,26.1,640.0,4.702,41.1,70.6,461.0,1
2020202117,2020,2020-12-23 00,66,2020-12-20 06,48.0,163.0,968.9,24.1,660.0,4.283,38.6,68.6,229.0,1
2020202117,2020,2020-12-23 00,72,2020-12-20 00,46.5,161.25,970.8,25.3,540.0,5.05,42.2,70.2,213.0,1
2020202117,2020,2020-12-23 00,78,2020-12-19 18,46.0,158.5,971.9,26.5,420.0,6.273,46.2,69.8,219.0,1
2020202117,2020,2020-12-23 00,84,2020-12-19 12,45.25,155.25,976.9,25.3,320.0,7.472,47.9,74.3,266.0,1
2020202117,2020,2020-12-23 00,90,2020-12-19 06,44.5,152.5,985.4,18.4,340.0,5.263,38.7,52.6,232.0,1
2020202117,2020,2020-12-23 00,96,2020-12-19 00,43.75,150.5,995.2,11.7,600.0,2.225,23.4,49.9,180.0,1
2020202123,2020,2021-01-06 00,0,2021-01-06 00,43.0,193.0,978.7,20.4,270.0,7.11,44.2,64.9,0.0,1
2020202123,2020,2021-01-06 00,6,2021-01-05 18,45.5,193.75,990.3,2.6,1200.0,0.443,5.6,56.5,284.0,0
2020202123,2020,2021-01-06 00,12,2021-01-05 12,50.5,196.0,977.4,6.9,1200.0,1.214,13.7,54.1,581.0,0
2020202123,2020,2021-01-06 00,18,2021-01-05 06,53.75,201.75,967.0,12.8,1200.0,2.124,22.1,61.4,533.0,0
2020202123,2020,2021-01-06 00,24,2021-01-05 00,54.5,205.75,970.0,9.7,1200.0,1.656,17.4,64.2,274.0,1
2020202123,2020,2021-01-06 00,30,2021-01-04 18,55.25,214.25,972.8,13.2,910.0,2.263,22.4,54.5,550.0,0
2020202123,2020,2021-01-06 00,36,2021-01-04 12,53.5,221.0,971.5,24.9,560.0,4.685,38.2,63.9,478.0,1
2020202123,2020,2021-01-06 00,42,2021-01-04 06,52.25,223.5,981.3,17.0,770.0,2.719,26.4,62.2,218.0,1
2020202123,2020,2021-01-06 00,48,2021-01-04 00,50.75,221.75,983.4,14.6,760.0,2.354,23.6,70.3,206.0,1
2020202123,2020,2021-01-06 00,54,2021-01-03 18,50.0,216.0,974.0,21.6,480.0,4.724,38.0,60.3,416.0,1
2020202123,2020,2021-01-06 00,60,2021-01-03 12,48.75,212.0,974.1,21.1,370.0,5.665,40.7,55.9,321.0,1
2020202123,2020,2021-01-06 00,66,2021-01-03 06,46.75,207.5,983.4,14.3,400.0,3.57,30.2,54.0,403.0,1
2020202123,2020,2021-01-06 00,72,2021-01-03 00,45.25,202.5,990.4,8.9,370.0,2.324,21.6,52.4,421.0,1
2020202123,2020,2021-01-06 00,78,2021-01-02 18,46.25,196.25,994.5,1.2,1200.0,0.166,2.1,54.4,497.0,0
2020202123,2020,2021-01-06 00,84,2021-01-02 12,49.75,188.5,979.4,6.2,1200.0,1.116,12.8,51.4,695.0,0
2020202123,2020,2021-01-06 00,90,2021-01-02 06,54.5,178.25,943.8,37.8,720.0,6.347,50.8,52.6,875.0,0
2020202123,2020,2021-01-06 00,96,2021-01-02 00,57.75,172.25,955.8,26.5,1200.0,4.371,40.3,62.1,518.0,0
2020202129,2020,2021-01-13 18,0,2021-01-13 18,43.0,165.75,971.9,35.1,480.0,7.447,55.3,79.7,0.0,1
2020202129,2020,2021-01-13 18,6,2021-01-13 12,43.5,162.75,979.2,30.5,500.0,6.227,49.3,78.5,249.0,1
2020202129,2020,2021-01-13 18,12,2021-01-13 06,43.0,157.75,977.7,33.0,350.0,9.198,57.3,66.4,409.0,1
2020202129,2020,2021-01-13 18,18,2021-01-13 00,41.0,154.0,990.9,23.4,440.0,5.396,43.7,56.7,381.0,1
2020202129,2020,2021-01-13 18,24,2021-01-12 18,37.5,148.75,998.3,15.9,560.0,3.069,32.0,50.8,596.0,0
2020202129,2020,2021-01-13 18,30,2021-01-12 12,35.25,144.25,1005.7,9.9,530.0,1.995,23.4,48.7,474.0,1
2020202129,2020,2021-01-13 18,36,2021-01-12 06,31.75,139.25,1008.2,5.5,370.0,1.576,18.9,43.1,605.0,0
2020202129,2020,2021-01-13 18,42,2021-01-12 00,30.5,135.75,1012.2,4.8,330.0,1.536,18.3,41.9,361.0,1
2020202129,2020,2021-01-13 18,48,2021-01-11 18,30.75,132.75,1014.4,4.1,210.0,1.879,18.5,38.7,288.0,1
2020202129,2020,2021-01-13 18,54,2021-01-11 12,29.5,132.25,1018.7,2.2,210.0,1.053,12.5,32.8,147.0,0
2020202129,2020,2021-01-13 18,60,2021-01-11 06,25.75,130.75,1018.4,0.3,1050.0,0.026,0.6,36.0,442.0,0
2020202129,2020,2021-01-13 18,66,2021-01-11 00,19.75,130.75,1017.1,0.4,1200.0,0.065,1.7,31.7,667.0,0
2020202129,2020,2021-01-13 18,72,2021-01-10 18,11.25,129.75,1007.6,2.5,740.0,0.426,13.8,35.0,951.0,0
2020202129,2020,2021-01-13 18,78,2021-01-10 12,1.25,129.25,1007.8,0.9,810.0,0.153,13.6,19.0,1113.0,0
2020202129,2020,2021-01-13 18,84,2021-01-10 06,-9.25,126.5,1005.0,0.5,150.0,0.428,8.8,18.3,1207.0,0
2020202129,2020,2021-01-13 18,90,2021-01-10 00,-18.0,122.25,1006.6,2.7,540.0,0.559,12.3,17.7,1076.0,0
2020202129,2020,2021-01-13 18,96,2021-01-09 18,-25.0,117.0,1007.3,2.8,440.0,0.648,11.0,25.9,949.0,0
2020202135,2020,2021-01-25 12,0,2021-01-25 12,35.25,164.75,976.6,34.2,480.0,7.25,57.6,76.3,0.0,1
2020202135,2020,2021-01-25 12,6,2021-01-25 06,34.5,162.25,981.5,30.0,490.0,6.252,52.8,78.0,243.0,1
2020202135,2020,2021-01-25 12,12,2021-01-25 00,33.75,160.25,987.4,26.2,490.0,5.445,48.4,66.3,202.0,1
2020202135,2020,2021-01-25 12,18,2021-01-24 18,33.0,157.75,990.3,23.4,520.0,4.645,44.6,61.3,247.0,1
2020202135,2020,2021-01-25 12,24,2021-01-24 12,31.75,152.5,996.5,18.7,610.0,3.36,37.6,54.5,512.0,0
2020202135,2020,2021-01-25 12,30,2021-01-24 06,31.5,150.0,997.9,17.8,580.0,3.273,36.5,53.1,238.0,1
2020202135,2020,2021-01-25 12,36,2021-01-24 00,31.25,148.0,1003.4,15.1,590.0,2.716,32.1,50.8,192.0,1
2020202135,2020,2021-01-25 12,42,2021-01-23 18,29.5,143.5,1004.0,11.8,710.0,1.97,27.0,43.6,473.0,1
2020202135,2020,2021-01-25 12,48,2021-01-23 12,27.5,139.5,1006.7,8.4,730.0,1.406,21.5,40.2,450.0,1
2020202135,2020,2021-01-25 12,54,2021-01-23 06,27.0,135.75,1005.2,7.6,640.0,1.396,21.1,42.6,375.0,1
2020202135,2020,2021-01-25 12,60,2021-01-23 00,26.0,132.25,1007.8,7.0,620.0,1.271,19.8,41.4,366.0,1
2020202135,2020,2021-01-25 12,66,2021-01-22 18,25.0,127.75,1007.0,6.4,640.0,1.137,18.7,38.1,465.0,1
2020202135,2020,2021-01-25 12,72,2021-01-22 12,23.75,125.75,1008.8,5.5,630.0,0.975,16.9,34.5,246.0,1
2020202135,2020,2021-01-25 12,78,2021-01-22 06,22.5,124.75,1007.6,5.1,630.0,0.899,16.4,32.7,173.0,1
2020202135,2020,2021-01-25 12,84,2021-01-22 00,19.25,122.0,1010.2,3.7,950.0,0.601,13.9,25.6,461.0,1
2020202135,2020,2021-01-25 12,90,2021-01-21 18,13.5,118.25,1007.8,3.1,870.0,0.474,14.1,33.7,754.0,0
2020202135,2020,2021-01-25 12,96,2021-01-21 12,10.0,116.0,1008.9,2.4,610.0,0.402,13.3,26.2,460.0,0
2020202141,2020,2021-02-25 12,0,2021-02-25 12,55.75,225.75,988.5,26.4,600.0,4.927,39.7,69.6,0.0,1
2020202141,2020,2021-02-25 12,6,2021-02-25 06,57.0,221.5,979.8,34.5,570.0,6.512,48.2,69.6,296.0,1
2020202141,2020,2021-02-25 12,12,2021-02-25 00,56.75,216.0,980.9,33.3,520.0,6.711,48.2,59.5,335.0,1
2020202141,2020,2021-02-25 12,18,2021-02-24 18,56.25,211.5,986.0,28.3,520.0,5.745,43.1,53.1,282.0,1
2020202141,2020,2021-02-25 12,24,2021-02-24 12,54.5,208.25,992.6,23.1,550.0,4.482,36.5,45.5,283.0,1
2020202141,2020,2021-02-25 12,30,2021-02-24 06,52.25,205.25,999.6,17.1,580.0,3.206,28.8,41.2,320.0,1
2020202141,2020,2021-02-25 12,36,2021-02-24 00,49.75,203.75,1004.4,13.4,530.0,2.677,25.0,45.3,297.0,1
2020202141,2020,2021-02-25 12,42,2021-02-23 18,47.5,202.75,1008.6,10.9,430.0,2.531,23.4,39.7,261.0,1
2020202141,2020,2021-02-25 12,48,2021-02-23 12,45.25,201.75,1011.7,9.4,410.0,2.284,21.8,36.7,262.0,1
2020202141,2020,2021-02-25 12,54,2021-02-23 06,43.0,200.5,1013.5,9.2,380.0,2.343,22.4,39.7,269.0,1
2020202141,2020,2021-02-25 12,60,2021-02-23 00,41.25,199.5,1014.5,9.0,330.0,2.611,23.9,38.9,211.0,1
2020202141,2020,2021-02-25 12,66,2021-02-22 18,38.0,196.75,1017.0,6.2,430.0,1.381,16.1,36.4,431.0,1
2020202141,2020,2021-02-25 12,72,2021-02-22 12,34.5,190.75,1016.2,3.7,460.0,0.78,10.7,32.1,664.0,0
2020202141,2020,2021-02-25 12,78,2021-02-22 06,30.25,181.75,1013.7,3.1,320.0,0.905,12.2,31.6,968.0,0
2020202141,2020,2021-02-25 12,84,2021-02-22 00,25.25,175.5,1014.3,2.3,560.0,0.41,7.7,32.2,829.0,0
2020202141,2020,2021-02-25 12,90,2021-02-21 18,17.75,168.25,1013.7,-0.4,420.0,-0.081,,23.2,1121.0,0
2020202141,2020,2021-02-25 12,96,2021-02-21 12,7.75,161.5,1010.7,1.1,710.0,0.2,9.3,27.4,1331.0,0
2021202203,2021,2021-10-21 06,0,2021-10-21 06,45.75,223.75,956.6,50.1,410.0,12.019,71.0,78.7,0.0,1
2021202203,2021,2021-10-21 06,6,2021-10-21 00,43.0,222.75,975.0,30.3,520.0,6.071,49.1,67.5,316.0,1
2021202203,2021,2021-10-21 06,12,2021-10-20 18,41.25,218.5,991.6,13.9,730.0,2.316,25.8,56.2,401.0,1
2021202203,2021,2021-10-21 06,18,2021-10-20 12,42.0,213.25,996.9,7.2,960.0,1.149,14.4,49.9,444.0,1
2021202203,2021,2021-10-21 06,24,2021-10-20 06,45.25,209.25,998.9,3.8,1180.0,0.613,7.7,45.1,484.0,1
2021202203,2021,2021-10-21 06,30,2021-10-20 00,51.0,204.5,994.4,4.1,730.0,0.716,8.0,40.9,730.0,0
2021202203,2021,2021-10-21 06,36,2021-10-19 18,58.75,196.5,984.3,10.5,1200.0,1.863,18.6,43.7,1001.0,0
2021202203,2021,2021-10-21 06,42,2021-10-19 12,64.0,186.25,979.0,20.3,930.0,3.145,28.0,40.6,798.0,0
2021202203,2021,2021-10-21 06,48,2021-10-19 06,66.75,174.75,990.2,9.4,1200.0,1.605,15.2,42.6,613.0,0
2021202203,2021,2021-10-21 06,54,2021-10-19 00,67.5,168.0,1000.6,0.5,1200.0,0.151,1.5,45.3,303.0,0
2021202203,2021,2021-10-21 06,60,2021-10-18 18,66.75,167.0,999.3,3.6,1200.0,0.591,5.9,41.8,94.0,1
2021202203,2021,2021-10-21 06,66,2021-10-18 12,63.5,168.25,984.7,21.5,700.0,3.566,30.0,45.9,366.0,1
