when,lat,lon,p_centre,p_env,depth,fit_depth,scale_km,fit_rms,grad_hpa_per_100km,vg_kt,vgeo_kt,wind_kt,gust_kt,wind_lat,wind_lon,wind_dist_km
2024-10-31 18,49.5,228.5,1000.8,1013.2,12.5,13.0,480.0,0.95,2.715,24.9,33.3,29.2,40.6,47.0,227.75,283.0
2024-11-01 00,46.25,181.25,958.7,1005.4,46.8,46.8,430.0,2.08,10.894,67.5,140.7,64.3,92.0,44.5,180.0,218.0
2024-11-01 00,57.5,211.5,992.8,1010.1,17.3,17.0,410.0,1.41,4.15,31.6,45.9,29.5,39.0,56.0,210.75,173.0
2024-11-01 00,48.75,230.0,1000.4,1013.4,13.0,14.0,580.0,0.89,2.411,23.6,29.9,26.6,35.1,45.5,230.5,363.0
2024-11-01 06,49.25,186.5,954.9,1003.2,48.2,49.1,470.0,1.62,10.444,66.6,128.7,59.8,85.5,46.75,186.0,280.0
2024-11-01 06,58.0,213.0,995.2,1010.6,15.4,14.7,370.0,1.02,3.98,29.7,43.8,28.0,37.3,56.75,212.5,142.0
2024-11-01 06,48.5,231.25,999.6,1014.3,14.7,16.4,650.0,0.73,2.529,25.1,31.5,24.9,34.8,44.5,234.0,492.0
2024-11-01 12,51.75,191.75,955.6,1002.2,46.5,48.1,510.0,1.1,9.425,62.8,112.0,54.6,80.5,49.5,191.0,256.0
2024-11-01 12,56.0,170.75,984.0,1000.5,16.5,19.7,690.0,1.01,2.861,26.2,32.2,35.1,50.7,60.25,172.75,487.0
2024-11-01 12,48.5,232.0,997.9,1014.1,16.2,18.9,700.0,0.68,2.694,26.8,33.6,24.7,30.9,44.75,235.5,495.0
2024-11-01 18,53.5,195.75,956.0,1001.1,45.1,46.6,520.0,1.1,8.962,60.4,104.1,50.2,75.9,51.75,194.75,206.0
2024-11-01 18,54.75,172.0,983.7,1001.1,17.4,20.2,670.0,1.27,3.02,27.6,34.5,31.6,45.7,59.0,172.0,473.0
