when,lat,lon,p_centre,p_env,depth,fit_depth,scale_km,fit_rms,grad_hpa_per_100km,vg_kt,vgeo_kt,wind_kt,gust_kt,wind_lat,wind_lon,wind_dist_km
2021-10-01 00,48.0,192.75,995.8,1011.4,15.6,15.2,330.0,0.95,4.611,34.2,57.9,40.3,67.0,46.75,195.25,234.0
2021-10-01 00,42.25,173.75,996.8,1013.9,17.1,18.0,560.0,1.08,3.207,31.4,44.5,34.6,49.2,45.5,174.0,362.0
2021-10-01 06,49.0,200.25,991.3,1010.4,19.1,19.2,400.0,1.44,4.802,36.9,59.4,41.6,64.1,47.0,202.0,258.0
2021-10-01 12,58.0,211.0,980.1,1003.0,22.8,31.8,840.0,2.16,3.783,33.7,41.6,32.8,47.7,57.5,212.0,81.0
2021-10-01 12,51.0,208.0,982.4,1009.2,26.9,28.0,490.0,2.66,5.709,43.6,68.6,41.4,60.6,49.5,210.0,219.0
2021-10-01 18,37.5,145.5,965.7,1010.4,44.7,43.5,290.0,2.36,14.998,74.2,229.9,52.5,84.3,36.75,144.0,157.0
2021-10-01 18,53.25,214.25,966.9,1009.3,42.4,42.6,440.0,4.39,9.671,60.6,112.6,52.1,74.5,52.5,213.0,118.0
2021-10-02 00,55.0,219.75,957.6,1008.2,50.7,50.1,400.0,3.78,12.526,69.4,142.7,57.6,90.6,54.25,220.75,105.0
2021-10-02 00,39.5,147.75,970.1,1011.9,41.8,40.9,320.0,2.08,12.787,69.4,187.6,53.0,72.7,39.25,146.25,132.0
2021-10-02 06,57.5,221.5,959.4,1005.4,45.9,46.8,460.0,4.03,10.178,62.5,112.6,50.6,72.0,56.0,221.75,167.0
2021-10-02 06,41.75,150.25,972.4,1011.5,39.1,38.4,350.0,1.91,10.964,64.5,153.7,47.2,63.7,39.75,149.75,226.0
2021-10-02 12,43.5,152.5,976.9,1013.3,36.4,36.1,390.0,1.94,9.251,59.5,125.4,47.5,63.7,41.5,152.5,222.0
