when,lat,lon,p_centre,p_env,depth,fit_depth,scale_km,fit_rms,grad_hpa_per_100km,vg_kt,vgeo_kt,wind_kt,gust_kt,wind_lat,wind_lon,wind_dist_km
2023-10-05 00,51.0,199.75,987.3,1007.9,20.6,23.4,640.0,1.17,3.658,33.0,43.9,39.2,50.4,55.25,200.25,474.0
2023-10-05 06,53.0,199.0,985.1,1007.0,21.9,25.0,640.0,0.99,3.899,34.2,45.6,36.1,53.4,56.5,199.25,390.0
2023-10-05 06,55.5,169.75,985.2,1008.1,22.9,23.3,470.0,1.55,4.954,37.7,56.1,36.3,51.0,56.25,166.0,248.0
2023-10-05 12,53.5,199.25,984.0,1005.7,21.7,24.9,640.0,1.31,3.893,34.0,45.2,32.5,46.9,57.0,197.0,414.0
2023-10-05 12,41.5,148.75,986.8,1004.6,17.8,21.7,720.0,1.49,3.019,31.9,42.5,34.3,48.9,44.5,146.0,402.0
2023-10-05 12,54.25,169.75,990.0,1008.4,18.4,19.0,500.0,1.11,3.799,31.5,43.7,34.3,49.7,53.5,167.0,199.0
2023-10-05 18,43.5,149.25,979.2,1003.0,23.8,26.7,620.0,2.38,4.313,39.9,58.5,39.0,53.3,44.0,150.25,98.0
2023-10-05 18,55.25,198.75,982.6,1004.9,22.3,26.5,680.0,0.97,3.891,33.9,44.2,31.4,43.3,55.0,204.0,335.0
2023-10-05 18,40.25,156.5,985.3,1003.9,18.6,19.5,530.0,1.88,3.681,35.2,53.2,37.7,54.4,39.75,156.75,60.0
2023-10-06 00,44.5,148.5,974.7,1004.1,29.4,31.1,540.0,2.98,5.764,47.3,76.7,39.7,62.7,46.25,149.25,203.0
2023-10-06 00,56.5,196.5,982.8,1004.6,21.8,25.9,690.0,0.89,3.747,32.7,41.9,29.0,38.9,59.5,190.25,497.0
2023-10-06 06,44.25,149.0,976.9,1004.2,27.3,29.4,580.0,1.9,5.07,44.0,67.8,41.9,61.8,40.75,145.5,483.0
2023-10-06 06,56.25,195.5,984.3,1005.0,20.7,24.5,690.0,1.17,3.556,31.4,39.9,28.9,38.8,59.25,189.25,498.0
2023-10-06 06,43.5,161.75,984.5,1001.8,17.3,19.1,590.0,1.59,3.244,31.7,44.0,38.0,55.3,43.25,167.5,465.0
2023-10-06 12,46.25,151.5,980.7,1005.5,24.8,26.4,530.0,1.83,4.972,41.6,64.2,39.1,54.9,46.5,150.0,118.0
2023-10-06 12,45.0,164.25,985.3,1001.9,16.7,17.5,450.0,2.2,3.899,33.7,51.5,36.8,49.5,45.25,165.75,121.0
2023-10-06 12,56.5,196.25,987.6,1006.4,18.9,22.5,700.0,1.0,3.215,28.9,36.0,27.2,35.4,58.5,188.75,500.0
2023-10-06 18,44.5,153.0,982.9,1006.6,23.6,26.1,600.0,0.88,4.348,39.4,57.9,39.0,53.9,46.5,148.5,415.0
2023-10-06 18,46.25,166.5,986.6,1003.0,16.4,16.2,330.0,1.98,4.909,36.1,63.4,35.6,47.5,45.5,166.75,86.0
2023-10-06 18,56.75,197.0,989.3,1006.9,17.5,20.3,670.0,1.06,3.035,27.3,33.9,25.1,34.5,60.0,191.25,493.0
2023-10-07 00,45.0,153.75,986.6,1009.0,22.5,24.2,570.0,0.93,4.246,38.1,56.0,34.1,45.0,45.5,147.5,492.0
2023-10-07 00,47.0,168.0,988.9,1005.2,16.3,15.8,300.0,1.71,5.274,36.7,67.3,31.7,43.8,46.25,168.25,86.0
2023-10-07 00,57.0,197.0,991.1,1006.3,15.2,17.5,650.0,1.05,2.686,24.4,29.9,24.1,31.5,59.75,190.25,498.0
2023-10-07 06,45.0,154.25,987.6,1010.2,22.6,23.4,520.0,1.12,4.509,38.9,59.5,35.5,49.4,46.25,154.75,144.0
2023-10-07 06,47.5,169.5,989.4,1006.1,16.7,15.9,270.0,1.54,5.9,38.2,74.7,33.1,45.3,48.5,170.0,117.0
2023-10-07 12,44.0,156.0,991.1,1012.5,21.4,22.4,550.0,0.79,4.076,36.9,54.8,33.7,46.6,40.25,158.0,448.0
2023-10-07 18,57.25,214.75,983.5,1001.8,18.3,21.1,640.0,1.29,3.3,28.9,36.6,31.4,41.2,58.75,220.75,391.0
2023-10-07 18,44.25,158.5,992.3,1012.9,20.6,21.9,570.0,0.57,3.848,35.6,51.5,34.5,48.1,41.75,158.25,279.0
2023-10-08 00,44.5,161.25,994.4,1013.5,19.0,20.6,590.0,0.46,3.489,33.2,46.5,34.6,47.2,41.5,159.0,380.0
2023-10-08 06,46.0,216.75,987.0,1002.7,15.7,16.2,490.0,1.28,3.311,30.1,43.0,32.4,45.4,46.0,217.25,39.0
2023-10-08 06,44.5,163.25,994.9,1013.2,18.3,19.7,580.0,0.52,3.392,32.3,45.2,32.1,44.0,41.0,159.5,495.0
2023-10-08 12,48.5,218.75,980.2,1000.6,20.4,20.3,440.0,1.8,4.618,36.9,57.5,32.3,42.7,48.5,218.0,55.0
2023-10-08 12,44.75,165.75,996.5,1013.8,17.4,18.5,570.0,0.61,3.241,31.0,43.0,32.3,44.4,43.5,159.75,499.0
2023-10-08 18,49.0,220.5,974.7,1001.0,26.3,26.3,450.0,1.84,5.852,44.0,72.4,39.2,52.9,48.5,219.25,107.0
2023-10-08 18,44.75,168.0,996.4,1013.7,17.3,18.3,560.0,0.55,3.262,31.0,43.2,30.3,42.6,41.0,164.75,494.0
2023-10-09 00,49.5,222.5,971.0,999.4,28.4,28.5,460.0,1.64,6.204,46.0,76.1,41.2,58.3,48.75,221.5,111.0
2023-10-09 00,49.5,200.0,982.8,1001.2,18.3,18.8,480.0,1.36,3.921,33.1,48.1,32.2,45.2,49.0,198.0,155.0
2023-10-09 00,45.0,170.25,996.0,1013.9,18.0,18.6,520.0,0.67,3.568,32.6,47.1,30.9,41.2,46.5,169.0,193.0
2023-10-09 06,51.0,224.75,971.9,997.7,25.8,26.2,490.0,1.17,5.348,41.6,64.2,42.1,61.0,50.5,231.25,461.0
2023-10-09 06,49.5,205.5,978.5,999.0,20.5,20.7,460.0,1.3,4.506,36.4,55.3,36.2,51.0,47.75,202.5,294.0
2023-10-09 06,44.75,172.25,996.9,1014.2,17.4,17.7,510.0,0.52,3.477,31.9,46.1,32.7,44.6,46.25,170.25,228.0
2023-10-09 12,55.75,221.25,969.7,992.6,22.9,26.0,580.0,2.04,4.48,36.6,50.6,36.5,51.4,54.25,228.5,491.0
2023-10-09 12,49.5,208.25,976.2,997.4,21.2,21.6,460.0,1.72,4.706,37.6,57.8,40.1,57.2,46.25,208.5,362.0
2023-10-09 12,45.0,174.75,998.0,1014.8,16.7,17.1,510.0,0.44,3.358,31.0,44.3,32.5,45.1,45.0,171.25,275.0
2023-10-09 18,56.5,221.75,969.5,992.6,23.2,25.4,550.0,2.53,4.621,36.9,51.7,34.3,56.3,55.75,222.25,89.0
2023-10-09 18,49.5,215.75,976.4,996.5,20.1,22.7,590.0,1.53,3.842,34.2,47.2,40.6,58.3,46.75,212.5,389.0
2023-10-09 18,45.0,177.0,998.4,1015.1,16.7,16.9,500.0,0.35,3.384,31.1,44.7,33.2,48.2,42.75,173.5,376.0
2023-10-10 00,50.25,220.0,977.1,997.1,20.1,20.9,500.0,1.34,4.186,35.0,50.8,37.2,49.4,46.0,218.0,495.0
2023-10-10 00,44.75,179.25,999.1,1015.5,16.4,16.6,490.0,0.4,3.382,31.0,44.8,33.0,47.2,41.5,176.5,425.0
2023-10-10 06,50.5,221.75,978.2,999.5,21.3,21.8,480.0,1.27,4.543,36.8,54.9,36.5,55.7,48.5,220.0,256.0
2023-10-10 06,39.0,147.75,999.4,1015.2,15.8,16.5,540.0,0.9,3.056,31.1,45.3,34.1,50.0,37.25,150.75,327.0
2023-10-10 06,44.25,181.75,1000.4,1015.4,15.1,15.4,510.0,0.33,3.012,28.7,40.3,34.0,48.1,42.0,178.0,394.0
2023-10-10 12,50.5,225.5,979.0,1001.3,22.4,23.0,520.0,0.59,4.418,36.7,53.4,40.2,56.6,47.5,224.0,351.0
2023-10-10 12,40.75,150.75,993.7,1014.9,21.2,21.3,470.0,1.63,4.542,39.5,64.9,36.8,54.5,41.0,153.75,254.0
2023-10-10 18,49.25,228.75,982.5,1003.7,21.2,22.4,580.0,0.23,3.859,34.2,47.5,40.7,59.6,46.5,225.75,379.0
2023-10-10 18,42.0,154.0,988.3,1013.4,25.1,25.4,480.0,1.62,5.283,43.8,73.7,41.4,61.8,37.75,155.25,484.0
2023-10-11 00,44.0,159.25,983.1,1011.5,28.4,28.8,460.0,1.69,6.27,48.1,84.2,45.7,67.9,42.5,156.5,278.0
2023-10-11 00,49.25,230.5,986.0,1003.4,17.4,18.0,530.0,0.24,3.387,30.3,41.7,39.9,54.4,47.0,227.0,361.0
2023-10-11 00,45.75,200.5,993.9,1011.9,18.0,18.5,490.0,1.07,3.77,33.3,49.1,29.2,40.0,46.5,201.25,101.0
2023-10-11 06,45.5,162.75,974.1,1008.2,34.1,34.4,450.0,2.14,7.655,54.3,100.2,46.6,72.5,44.75,161.5,129.0
2023-10-11 06,46.25,203.5,990.1,1011.4,21.3,21.7,480.0,1.34,4.522,37.8,58.4,35.3,48.8,46.25,201.0,192.0
2023-10-11 12,46.5,167.25,963.6,1007.2,43.5,43.7,440.0,2.44,9.934,63.9,127.8,55.8,84.5,45.5,165.75,161.0
2023-10-11 12,47.25,207.0,987.8,1010.2,22.4,23.0,490.0,1.29,4.703,38.9,59.8,39.2,53.9,46.0,204.25,252.0
2023-10-11 18,48.5,172.25,956.3,1004.5,48.3,49.0,460.0,2.21,10.649,67.2,132.7,56.8,82.6,47.25,170.75,178.0
2023-10-11 18,47.75,209.25,987.2,1010.2,23.0,24.3,550.0,1.15,4.423,38.0,55.8,38.8,55.5,47.25,208.0,109.0
2023-10-12 00,50.5,176.75,950.6,1002.6,52.0,52.9,470.0,2.18,11.246,69.5,136.0,55.8,84.9,48.75,175.25,223.0
2023-10-12 00,48.75,211.75,986.1,1008.7,22.5,24.3,590.0,0.96,4.118,36.3,51.1,37.2,52.1,47.25,210.0,212.0
2023-10-12 06,51.5,180.0,950.4,1000.4,49.9,51.0,480.0,2.35,10.631,67.1,126.8,50.1,79.4,50.0,180.0,167.0
2023-10-12 06,53.0,160.5,981.1,997.1,16.0,16.1,360.0,0.72,4.461,33.1,52.1,39.3,54.4,50.5,160.25,279.0
2023-10-12 06,47.75,214.5,986.6,1008.2,21.6,25.5,720.0,0.3,3.542,33.9,44.7,34.8,49.5,48.25,212.0,194.0
2023-10-12 12,52.5,184.0,954.1,999.7,45.6,46.8,500.0,1.99,9.355,61.9,110.0,51.4,75.0,50.5,182.0,262.0
2023-10-12 12,52.75,164.25,979.3,996.6,17.3,17.5,380.0,1.28,4.613,34.5,54.1,41.2,58.8,50.0,163.25,314.0
2023-10-12 12,49.25,216.0,986.1,1006.4,20.3,24.7,750.0,0.38,3.292,31.7,40.6,34.3,47.8,50.25,222.25,462.0
2023-10-12 18,53.5,185.75,958.2,997.8,39.6,41.2,510.0,1.99,8.07,55.8,93.7,45.4,67.1,50.75,185.5,306.0
2023-10-12 18,54.75,218.75,988.0,1006.5,18.4,20.9,660.0,0.49,3.164,28.6,36.2,37.8,54.1,56.75,224.0,397.0
2023-10-13 00,54.75,185.5,960.9,996.7,35.8,37.8,540.0,2.4,7.001,50.8,80.0,41.9,60.5,56.25,187.25,200.0
2023-10-13 00,57.75,217.0,985.7,1004.3,18.6,19.1,530.0,0.92,3.599,29.8,39.7,41.3,58.2,57.25,223.5,392.0
2023-10-13 06,55.0,184.25,962.1,997.0,35.0,36.5,530.0,2.22,6.894,49.9,78.5,44.9,61.7,56.75,185.75,216.0
2023-10-13 12,29.25,150.75,953.8,1009.3,55.6,52.7,220.0,4.36,23.943,89.1,457.3,65.3,100.0,28.5,151.25,97.0
2023-10-13 12,54.75,183.75,966.4,998.4,32.0,33.5,520.0,2.08,6.436,47.3,73.5,41.4,54.0,56.75,183.5,223.0
2023-10-13 18,31.75,153.0,950.3,1008.0,57.8,55.2,240.0,4.47,22.99,89.7,407.7,66.5,107.4,31.25,154.0,110.0
2023-10-13 18,54.0,183.25,972.6,1000.5,27.9,28.7,490.0,1.75,5.854,43.6,67.5,38.2,54.8,51.25,183.25,306.0
2023-10-14 00,34.0,156.25,960.1,1009.0,48.9,46.8,280.0,3.74,16.697,79.1,278.7,61.1,99.9,33.25,157.25,125.0
2023-10-14 00,53.0,184.5,980.5,1002.0,21.5,22.0,470.0,1.46,4.686,36.8,54.8,41.1,57.0,51.0,182.5,261.0
2023-10-14 06,37.25,159.75,957.8,1007.4,49.6,47.9,310.0,3.36,15.458,77.7,238.3,59.2,94.5,36.25,161.25,174.0
2023-10-14 06,51.25,186.75,987.2,1002.8,15.6,16.0,450.0,1.03,3.554,29.9,42.5,35.9,51.0,48.75,186.75,278.0
2023-10-14 12,40.0,164.0,960.6,1007.6,47.0,46.4,370.0,2.35,12.529,72.3,181.9,54.0,83.6,39.25,165.25,136.0
2023-10-14 18,42.75,167.75,957.1,1006.2,49.2,48.3,370.0,2.87,13.051,73.2,179.4,51.1,79.0,41.75,166.0,182.0
2023-10-14 18,47.5,208.0,981.8,999.7,17.8,19.7,590.0,1.77,3.334,31.1,42.2,29.7,41.1,45.0,207.25,284.0
2023-10-15 00,43.75,170.75,952.0,1006.0,54.1,53.1,360.0,3.5,14.745,77.8,199.0,58.7,86.1,44.0,169.5,104.0
2023-10-15 00,48.25,209.5,980.1,1000.7,20.6,21.8,540.0,1.99,4.042,35.2,50.6,34.3,45.7,47.5,209.25,85.0
2023-10-15 06,44.5,175.0,953.0,1005.8,52.7,52.3,400.0,3.15,13.072,74.7,174.1,56.2,89.4,44.5,172.75,178.0
2023-10-15 06,49.0,211.25,982.1,1002.8,20.7,21.8,530.0,1.73,4.119,35.4,50.9,31.8,42.2,48.5,212.5,107.0
2023-10-15 12,45.0,179.5,956.7,1005.8,49.2,50.1,470.0,2.48,10.666,69.1,140.8,52.2,76.8,42.5,178.75,284.0
2023-10-15 12,50.75,211.0,983.7,1004.0,20.3,21.1,520.0,1.17,4.063,34.3,49.0,30.8,39.7,53.0,215.5,397.0
2023-10-15 12,37.75,144.25,988.3,1010.3,22.0,21.3,290.0,1.96,7.328,47.7,111.7,43.7,63.9,37.0,144.0,86.0
2023-10-15 18,45.25,183.0,956.0,1004.7,48.7,49.7,470.0,2.71,10.579,68.6,139.0,53.5,74.7,42.75,181.5,303.0
2023-10-15 18,39.5,146.75,981.3,1010.0,28.7,27.5,280.0,2.5,9.837,56.1,144.3,48.3,73.9,39.0,146.25,70.0
2023-10-15 18,51.5,210.0,985.7,1004.1,18.4,18.9,510.0,0.91,3.701,31.6,44.1,28.7,39.8,54.75,214.25,459.0
2023-10-16 00,44.75,185.75,957.8,1004.3,46.5,47.6,470.0,2.89,10.12,66.8,134.2,52.8,77.4,42.25,185.75,278.0
2023-10-16 00,41.5,149.5,980.9,1010.8,29.9,29.1,330.0,2.37,8.823,55.1,124.3,40.5,59.0,41.0,147.5,176.0
2023-10-16 06,43.75,190.0,963.3,1002.8,39.6,41.7,530.0,2.18,7.865,58.9,106.2,50.3,73.5,42.25,190.0,167.0
2023-10-16 06,42.75,151.75,981.5,1010.2,28.7,28.3,380.0,2.26,7.44,51.3,102.3,39.3,53.9,41.5,152.75,162.0
2023-10-16 06,50.0,226.75,989.8,1008.9,19.2,18.7,420.0,1.27,4.452,35.1,54.2,37.0,52.1,50.25,230.75,286.0
2023-10-16 12,43.5,195.0,968.2,1001.0,32.8,36.7,620.0,1.77,5.92,50.5,80.3,47.0,66.5,41.25,194.5,254.0
2023-10-16 12,52.0,225.25,985.5,1006.3,20.9,20.8,440.0,1.37,4.734,36.7,56.1,34.5,46.9,53.0,226.25,130.0
2023-10-16 12,44.5,154.5,985.5,1012.6,27.1,27.0,430.0,1.78,6.277,47.0,83.6,37.5,54.3,42.5,153.75,230.0
2023-10-16 18,44.0,199.75,969.1,999.1,30.0,35.1,670.0,1.79,5.238,46.8,70.4,42.4,63.0,39.75,198.25,489.0
2023-10-16 18,54.0,224.25,985.4,1003.5,18.1,18.0,410.0,1.22,4.389,33.6,50.6,30.8,42.4,55.25,225.5,161.0
2023-10-16 18,47.0,156.5,985.8,1012.6,26.8,26.8,420.0,1.58,6.385,46.4,81.5,39.3,58.3,48.0,158.0,158.0
2023-10-17 00,45.0,204.0,969.7,997.5,27.7,33.5,700.0,1.8,4.784,43.8,63.1,39.3,56.8,40.75,202.5,488.0
2023-10-17 00,50.0,156.5,984.6,1011.9,27.3,27.3,410.0,2.32,6.669,46.7,81.3,39.0,61.0,50.5,158.75,169.0
2023-10-17 06,46.0,207.5,970.5,997.9,27.4,32.8,690.0,1.73,4.748,43.0,61.6,37.2,52.8,41.75,207.5,473.0
2023-10-17 06,49.75,146.75,985.4,1008.7,23.2,24.8,540.0,1.77,4.592,38.4,56.2,34.3,47.4,48.0,141.5,430.0
2023-10-17 06,52.25,155.25,987.9,1010.2,22.3,24.9,610.0,1.89,4.077,35.3,48.1,32.6,49.7,52.0,162.5,496.0
2023-10-17 12,48.0,211.25,973.1,997.7,24.7,31.9,770.0,1.16,4.143,38.9,52.0,34.7,48.6,44.75,213.0,385.0
2023-10-17 12,47.75,147.25,987.6,1010.1,22.5,22.7,440.0,1.66,5.153,40.2,65.0,36.5,53.6,47.0,146.5,101.0
2023-10-17 12,53.75,153.5,989.4,1010.3,20.9,22.9,600.0,1.93,3.81,32.9,44.1,29.7,41.4,57.75,154.0,446.0
2023-10-17 18,50.25,214.25,975.0,998.6,23.6,34.0,880.0,0.86,3.867,36.9,46.9,33.6,46.3,47.5,216.0,331.0
2023-10-17 18,46.75,150.5,989.0,1010.6,21.6,21.5,440.0,1.89,4.882,38.9,62.5,37.2,55.9,46.5,147.0,269.0
2023-10-17 18,54.0,151.5,989.6,1008.7,19.2,19.5,460.0,1.78,4.246,33.7,49.0,32.8,47.4,55.25,151.0,143.0
2023-10-18 00,52.5,216.5,976.5,999.2,22.7,32.4,890.0,0.39,3.64,34.4,42.8,31.5,42.6,49.5,220.0,414.0
2023-10-18 00,46.5,154.5,991.7,1010.7,19.0,19.1,440.0,2.15,4.332,35.8,55.7,35.9,51.8,44.25,154.0,253.0
2023-10-18 00,52.5,151.0,992.8,1008.9,16.0,16.7,510.0,1.51,3.276,28.5,38.5,34.0,48.2,53.0,149.25,130.0
2023-10-18 06,54.75,217.5,978.7,1000.4,21.7,29.7,860.0,0.22,3.453,32.1,39.5,29.9,40.0,52.25,223.5,484.0
2023-10-18 06,51.25,162.0,989.6,1008.5,18.9,26.2,860.0,1.56,3.047,29.8,36.5,26.2,30.8,49.5,165.25,302.0
2023-10-18 12,55.75,217.75,980.2,1001.9,21.7,26.8,780.0,0.23,3.44,31.3,38.8,29.4,39.2,55.25,225.5,491.0
2023-10-18 12,51.75,163.25,987.4,1009.2,21.8,28.1,800.0,1.28,3.517,33.1,41.8,26.5,36.4,51.0,163.75,90.0
2023-10-18 18,56.75,217.75,982.7,1003.6,21.0,23.7,690.0,0.36,3.44,30.4,38.4,27.8,40.6,58.0,209.75,499.0
2023-10-18 18,53.5,167.0,985.9,1009.1,23.2,29.6,790.0,0.64,3.742,34.2,43.4,31.9,46.0,54.25,162.75,291.0
2023-10-19 00,53.75,167.5,986.4,1009.9,23.5,28.1,730.0,0.64,3.845,34.4,44.5,36.5,51.9,54.75,162.75,328.0
2023-10-19 06,53.0,168.25,989.1,1010.1,21.0,24.8,710.0,0.59,3.489,31.9,40.8,34.6,49.5,54.75,163.5,367.0
2023-10-19 06,53.75,144.5,993.5,1010.3,16.7,17.9,540.0,0.88,3.317,28.9,38.4,32.4,42.1,56.5,138.75,476.0
2023-10-19 12,55.5,144.0,989.5,1012.5,23.0,23.9,500.0,1.58,4.779,37.3,54.1,37.7,56.2,56.0,138.25,364.0
2023-10-19 12,54.25,178.0,990.6,1012.0,21.4,28.4,860.0,0.23,3.297,31.0,37.9,33.6,47.1,58.25,175.25,476.0
2023-10-19 18,54.25,179.25,992.0,1013.5,21.6,27.4,810.0,0.19,3.388,31.5,39.0,32.4,42.9,57.75,175.0,470.0
2023-10-20 00,54.0,183.25,994.9,1015.3,20.4,25.5,780.0,0.57,3.269,30.4,37.7,31.9,43.3,55.5,184.0,174.0
2023-10-20 06,50.0,185.75,998.1,1016.5,18.4,27.0,930.0,0.58,2.908,29.4,35.4,28.4,38.4,45.75,184.75,478.0
2023-10-20 12,44.75,145.75,995.5,1010.6,15.0,17.0,630.0,0.83,2.697,27.3,35.7,30.5,46.8,40.5,146.75,480.0
2023-10-20 12,48.25,188.0,1001.6,1016.8,15.2,26.0,1050.0,0.65,2.478,26.5,31.0,30.0,39.8,45.75,182.75,485.0
2023-10-20 18,47.5,148.25,990.5,1009.5,19.0,21.2,620.0,1.02,3.426,32.1,43.4,32.6,45.6,46.0,151.5,299.0
2023-10-21 00,52.0,149.25,985.2,1010.1,24.9,28.2,650.0,1.23,4.336,37.6,51.4,35.3,50.8,51.75,153.25,276.0
2023-10-21 00,48.0,200.0,1000.4,1016.5,16.0,19.3,700.0,1.18,2.76,27.4,34.7,30.7,44.0,47.75,202.25,170.0
2023-10-21 06,54.75,148.75,976.8,1008.2,31.4,33.4,570.0,1.59,5.859,45.1,67.0,36.3,53.2,55.5,154.0,344.0
2023-10-21 06,49.75,197.5,1001.8,1019.6,17.8,20.7,670.0,0.98,3.082,29.3,37.7,30.5,42.4,49.75,202.25,341.0
2023-10-21 12,56.75,147.0,965.5,1006.4,40.8,41.6,450.0,2.76,9.252,58.3,103.3,37.6,52.0,55.0,147.25,195.0
