when,lat,lon,p_centre,p_env,depth,fit_depth,scale_km,fit_rms,grad_hpa_per_100km,vg_kt,vgeo_kt,wind_kt,gust_kt,wind_lat,wind_lon,wind_dist_km
2023-10-01 00,54.75,200.75,980.0,1009.4,29.4,32.6,620.0,1.7,5.264,42.4,60.2,35.1,45.7,53.5,202.0,161.0
2023-10-01 00,39.5,175.5,994.4,1016.4,21.9,22.9,550.0,0.93,4.167,39.2,61.1,38.1,50.6,37.75,176.0,199.0
2023-10-01 06,55.5,203.5,981.4,1009.0,27.6,30.6,620.0,1.71,4.932,40.1,55.9,32.4,41.8,51.25,205.0,483.0
2023-10-01 06,39.25,179.75,995.8,1016.5,20.7,22.3,610.0,0.63,3.662,36.7,54.0,34.6,50.0,37.0,180.25,254.0
2023-10-01 12,56.0,206.0,983.5,1008.5,25.1,27.8,610.0,1.68,4.553,37.4,51.3,31.1,43.2,51.75,207.5,483.0
2023-10-01 12,40.0,185.0,996.4,1016.5,20.1,21.6,590.0,0.61,3.661,36.1,53.2,35.8,55.5,39.0,189.75,422.0
2023-10-01 18,56.25,209.0,987.0,1008.6,21.6,23.7,600.0,1.38,3.945,33.2,44.3,32.7,38.2,54.75,210.0,178.0
2023-10-01 18,41.5,189.0,991.9,1016.3,24.3,24.9,490.0,1.36,5.083,43.1,71.6,39.9,56.6,39.5,192.0,337.0
2023-10-02 00,42.0,190.5,987.9,1016.6,28.7,28.4,410.0,2.36,6.937,50.5,96.8,47.0,67.2,42.0,189.75,62.0
2023-10-02 00,56.5,212.5,992.0,1008.4,16.4,18.2,610.0,1.07,2.988,26.5,33.4,29.4,38.5,54.75,213.25,200.0
2023-10-02 00,48.25,153.5,997.8,1012.9,15.1,18.9,740.0,1.03,2.559,25.9,32.0,34.3,50.2,46.0,159.0,485.0
2023-10-02 06,42.25,193.0,986.4,1017.0,30.6,30.3,420.0,2.62,7.221,52.2,100.2,43.4,60.2,41.75,192.25,83.0
2023-10-02 06,50.5,153.0,993.3,1011.1,17.8,22.0,730.0,1.18,3.008,29.0,36.4,39.3,57.4,51.25,155.0,163.0
2023-10-02 12,43.5,195.5,986.5,1016.4,29.9,30.2,460.0,2.15,6.558,49.8,88.9,41.4,59.3,42.75,197.25,165.0
2023-10-02 12,52.0,152.0,990.9,1010.6,19.7,23.1,690.0,1.14,3.344,30.9,39.6,35.4,57.0,52.25,155.75,257.0
2023-10-02 18,52.75,151.25,988.8,1009.6,20.7,24.0,680.0,1.16,3.523,31.9,41.3,31.6,44.8,54.0,152.0,148.0
2023-10-02 18,44.5,197.0,989.8,1015.9,26.1,26.7,480.0,1.83,5.555,44.5,74.0,38.8,56.2,44.5,195.0,159.0
2023-10-03 00,52.75,160.75,989.3,1009.5,20.2,22.1,560.0,2.48,3.95,33.6,46.3,36.6,49.7,54.0,162.75,192.0
2023-10-03 00,53.0,151.25,989.8,1009.2,19.4,23.1,720.0,1.02,3.212,29.8,37.5,29.9,43.0,51.5,144.5,489.0
2023-10-03 00,44.75,198.0,991.8,1015.6,23.8,24.7,510.0,1.61,4.842,40.9,64.2,39.0,54.3,45.5,196.25,161.0
2023-10-03 06,53.75,161.75,987.3,1008.0,20.7,23.0,590.0,2.58,3.903,33.4,45.2,35.1,50.0,55.0,168.75,474.0
2023-10-03 06,52.5,151.25,989.7,1007.4,17.7,20.4,670.0,0.8,3.044,28.3,35.8,30.6,45.3,50.75,145.0,473.0
2023-10-03 06,44.0,198.0,993.1,1016.3,23.2,24.4,540.0,1.46,4.517,39.7,60.7,40.4,56.9,44.75,196.75,130.0
2023-10-03 12,54.25,163.0,988.1,1007.4,19.3,23.9,720.0,2.07,3.316,30.3,38.1,31.0,45.3,55.25,170.5,494.0
2023-10-03 12,43.5,198.0,990.8,1015.4,24.6,25.3,500.0,1.86,5.055,42.4,68.5,41.0,57.5,44.0,196.0,170.0
2023-10-03 12,51.5,152.25,991.8,1007.8,16.0,18.9,700.0,0.48,2.699,26.0,32.2,32.0,43.2,50.25,146.0,460.0
2023-10-03 18,54.5,163.75,987.5,1006.4,18.9,25.6,820.0,1.75,3.128,29.4,35.9,29.8,43.3,57.5,163.5,334.0
2023-10-03 18,48.75,175.0,989.1,1010.0,20.9,21.7,490.0,1.37,4.422,36.7,54.9,41.3,62.6,49.0,177.0,149.0
2023-10-03 18,43.0,199.25,992.6,1014.8,22.2,23.7,570.0,1.5,4.153,38.2,56.8,38.7,52.3,43.5,196.0,269.0
2023-10-04 00,51.25,176.75,982.6,1008.2,25.6,26.4,480.0,2.19,5.498,42.1,65.8,42.5,64.6,51.0,179.0,159.0
2023-10-04 00,54.5,164.0,988.5,1006.0,17.5,26.7,940.0,1.24,2.844,27.6,32.6,29.0,40.7,58.25,162.5,427.0
2023-10-04 00,43.25,200.5,995.4,1013.3,17.9,20.9,690.0,0.93,3.024,31.0,41.2,32.3,44.0,41.25,196.5,397.0
2023-10-04 06,53.5,177.5,978.3,1007.3,29.0,29.1,430.0,2.64,6.772,46.9,78.6,43.6,63.7,53.25,180.25,185.0
2023-10-04 06,49.0,200.5,995.6,1013.3,17.7,17.3,430.0,1.3,4.021,33.0,49.7,35.8,49.0,50.5,199.75,175.0
2023-10-04 06,43.5,201.0,996.7,1012.5,15.7,18.4,700.0,0.89,2.623,27.6,35.6,27.7,37.4,40.25,197.0,490.0
2023-10-04 12,55.25,176.25,979.1,1008.0,28.8,29.1,450.0,2.44,6.464,45.5,73.4,40.9,57.1,55.5,180.5,270.0
2023-10-04 12,49.0,199.5,993.0,1010.3,17.3,17.9,470.0,1.41,3.816,32.4,47.2,34.4,45.8,53.0,202.0,478.0
2023-10-04 18,56.5,174.25,980.4,1008.7,28.3,28.5,450.0,2.02,6.326,44.5,70.8,36.3,52.2,57.75,174.0,140.0
2023-10-04 18,49.75,199.75,990.7,1009.8,19.0,20.6,570.0,1.19,3.615,32.3,44.2,33.8,43.8,53.75,203.0,498.0
2023-10-05 00,56.5,171.25,982.1,1008.4,26.4,26.6,450.0,1.83,5.921,42.4,66.3,41.1,57.8,60.0,170.75,390.0
