when,lat,lon,p_centre,p_env,depth,fit_depth,scale_km,fit_rms,grad_hpa_per_100km,vg_kt,vgeo_kt,wind_kt,gust_kt,wind_lat,wind_lon,wind_dist_km
2022-10-01 00,57.25,178.5,958.0,1007.4,49.3,49.3,440.0,2.81,11.211,65.9,124.4,44.1,61.6,53.75,178.25,390.0
2022-10-01 00,56.75,218.5,1000.7,1013.2,12.4,11.9,280.0,0.5,4.235,29.2,47.3,30.9,43.0,55.5,219.75,159.0
2022-10-01 00,41.0,216.5,1003.4,1017.0,13.6,14.1,550.0,0.66,2.566,26.7,36.5,32.1,45.0,37.5,218.25,417.0
2022-10-01 00,54.75,208.75,1005.7,1010.8,5.1,4.9,220.0,0.48,2.235,17.3,25.5,24.9,34.1,53.75,208.0,121.0
2022-10-01 00,48.0,144.0,1006.8,1015.8,8.9,8.7,360.0,0.48,2.422,21.7,30.4,25.3,37.2,48.75,144.0,83.0
2022-10-01 06,57.5,179.0,960.9,1007.0,46.1,46.2,440.0,2.8,10.507,63.0,116.3,44.0,60.9,53.75,179.5,418.0
2022-10-01 06,32.0,145.5,1004.0,1015.9,11.9,11.3,310.0,0.95,3.66,32.5,64.5,31.6,44.7,31.5,146.0,73.0
2022-10-01 06,37.25,215.25,1004.1,1017.7,13.6,13.8,500.0,1.19,2.767,28.9,42.7,32.7,45.2,37.25,214.5,66.0
2022-10-01 06,48.5,148.75,1006.8,1014.6,7.7,7.6,270.0,0.48,2.797,22.4,34.9,26.4,37.8,48.75,147.25,114.0
2022-10-01 12,57.25,181.0,966.4,1007.6,41.2,41.7,460.0,2.36,9.055,57.6,100.5,42.8,63.1,55.5,181.75,200.0
2022-10-01 12,37.0,215.75,997.7,1016.3,18.7,18.3,400.0,1.75,4.567,39.1,70.8,36.7,52.1,37.0,214.75,89.0
2022-10-01 12,35.0,148.5,1006.6,1017.6,10.9,10.7,350.0,0.47,3.057,28.9,49.7,34.4,47.9,35.75,150.25,179.0
2022-10-01 12,48.75,153.75,1009.5,1016.2,6.8,6.5,310.0,0.32,2.097,18.6,26.0,24.4,32.7,48.5,151.25,186.0
2022-10-01 18,57.0,184.0,971.4,1008.4,36.9,37.4,470.0,2.16,7.964,53.0,88.6,41.9,55.9,55.0,185.25,236.0
