track,when,lat,lon,lead_h,hf24,hf48,depth,scale_km,grad,vg_kt,gust_kt,p_centre,up_high_hpa,up_high_rel,down_low_hpa,down_low_rel,thick_anom_m,thick_anom_east_m,thick_m,trough_km,trough_bearing,trough_anom_m,sst_grad,sst_c,hvtl,hvtu
6,2020-10-05 00,58.0,212.5,nan,0,0,26.5,480.0,5.667,41.4,53.2,980.5,1018.8148965373778,38.33644194753401,996.0178530117716,15.539398421927899,115.5966796875,124.9194536436429,5498.2431640625,1088.008838000018,241.28334374724264,-161.65771484375,8.477350234985352,10.544641113281273,-145.1795654296875,-352.7679748535156
23,2020-10-13 06,55.5,205.0,nan,0,0,10.3,780.0,1.728,17.3,29.1,1002.3,1031.4876592476376,29.152026923418816,998.2259892929321,-4.109643031286623,-83.1572265625,-21.282422246373642,5290.0771484375,250.71189895360263,183.60110481858274,-215.60693359375,43.64426803588867,9.589837646484398,-4.721029281616211,-92.21659851074219
42,2020-10-20 18,44.25,171.75,nan,0,0,13.1,390.0,3.344,29.1,41.6,1001.8,1027.6678210055147,25.866673544577225,1003.8811371911053,2.0799897301677674,63.39111328125,25.451279375367157,5594.21484375,883.750854544643,301.322129817304,-261.1845703125,5.507275581359863,13.783227539062523,-317.03094482421875,-474.09234619140625
62,2020-10-25 06,45.0,198.75,nan,0,0,15.5,520.0,3.126,29.5,44.8,1000.5,1022.4833379305624,22.002258828999857,1017.8638973522557,17.382818250693163,161.1103515625,118.42457323881186,5647.20361328125,1361.3439075566032,204.22665145104253,-222.61962890625,3.0048816204071045,12.200402832031273,-219.00802612304688,-282.5287780761719
68,2020-10-28 00,36.0,155.75,6.0,1,1,15.7,450.0,3.483,33.8,48.5,1003.0,1021.8897037156542,18.8759708054979,1013.0731325401689,10.05939963001265,69.076171875,85.98274862258563,5685.6513671875,1994.9185322964292,291.9218630353282,-179.41455078125,7.526415824890137,23.630242919921898,-112.0724868774414,-400.2514953613281
78,2020-10-30 06,46.5,150.25,nan,0,0,14.4,440.0,3.264,28.9,41.7,1005.4,1027.340420187894,21.910122336331597,1008.1210080269108,2.690710175348272,-79.3408203125,-64.10457013080939,5368.87109375,431.75782668837826,212.43204937091605,-282.3134765625,11.381176948547363,9.704370117187523,-67.31183624267578,-251.75865173339844
92,2020-11-03 12,55.5,146.0,nan,0,0,24.0,660.0,4.175,35.6,54.3,985.8,1022.0637370436515,36.267106184276486,997.5240759507325,11.727445091357481,-50.89306640625,28.01829299104373,5275.13525390625,1195.1390989236584,205.49991320489573,-427.80224609375,12.131360054016113,3.7340942382812727,-51.28067398071289,-190.2823028564453
89,2020-11-06 00,56.75,234.75,nan,0,0,14.0,230.0,5.756,34.1,33.1,1004.4,1043.4711235767754,39.113335490837926,1000.1724918294863,-4.185296256451238,23.658203125,-10.592965540030537,5334.02734375,1398.2011560587127,195.33078369958108,-247.18115234375,3.773909091949463,nan,19.24277687072754,-235.39334106445312
99,2020-11-06 00,33.25,193.75,nan,0,0,23.1,310.0,7.045,49.1,72.2,1000.0,1026.5462568470505,26.550956554081722,1014.9598626668055,14.96456237383677,62.0361328125,61.56896799604339,5686.32275390625,613.4433128333724,184.34760629402277,-245.0283203125,2.948777198791504,20.365960693359398,113.6826171875,-167.4385986328125
122,2020-11-13 12,46.5,195.5,36.0,0,1,8.2,260.0,2.969,23.5,37.2,1010.8,1035.3450504641148,24.52058757348982,995.1297402161063,-15.694722674518744,73.9716796875,23.94193586989474,5475.5947265625,750.2329906534609,323.0959321672435,-129.38330078125,2.620893716812134,10.490869140625023,-527.2007446289062,-478.2784729003906
