track,hf,onset,n,start,peak_when,peak_lat,peak_lon,min_p,peak_depth,peak_scale_km,peak_grad,peak_vg_kt,max_wind_kt,max_gust_kt,peak_wind_dist_km,pre_depth,pre_scale_km,pre_grad,pre_vg_kt,pre_p,pre_lat,deepen24,month,season
45,0,,4,2020-10-19 00,2020-10-19 00,57.25,218.5,1011.1,9.1,470.0,1.878,17.1,33.0,48.6,491.0,nan,nan,nan,nan,nan,nan,nan,10,2020
46,0,,8,2020-10-19 12,2020-10-21 00,37.0,196.0,1000.8,10.7,760.0,1.818,22.6,30.4,41.2,462.0,8.8,740.0,1.496,21.2,1003.2,31.0,-2.400000000000091,10,2020
48,0,,5,2020-10-19 18,2020-10-20 18,36.25,164.0,1009.5,5.4,310.0,1.779,18.6,35.8,49.6,71.0,5.1,260.0,1.851,18.7,1014.2,34.5,-4.7000000000000455,10,2020
50,0,,7,2020-10-20 06,2020-10-21 06,54.75,165.75,993.8,23.7,440.0,5.374,39.6,41.4,61.2,162.0,8.2,450.0,1.864,18.3,1008.8,48.5,-15.0,10,2020
51,0,,5,2020-10-20 18,2020-10-21 18,48.75,189.25,995.2,14.1,860.0,2.395,24.9,38.3,46.5,266.0,11.5,800.0,1.872,21.8,1004.1,41.75,-8.899999999999977,10,2020
57,0,,10,2020-10-22 18,2020-10-22 18,50.5,181.0,976.7,33.9,680.0,5.807,48.2,40.2,56.6,475.0,nan,nan,nan,nan,nan,nan,nan,10,2020
58,0,,6,2020-10-22 18,2020-10-23 18,50.0,231.75,1006.9,21.2,490.0,4.349,35.9,34.5,46.9,248.0,16.8,510.0,3.303,28.6,1010.2,53.0,-3.300000000000068,10,2020
59,0,,3,2020-10-23 18,2020-10-23 18,35.5,145.75,994.6,13.2,280.0,4.515,35.0,48.9,66.2,28.0,nan,nan,nan,nan,nan,nan,nan,10,2020
61,0,,11,2020-10-24 12,2020-10-25 18,53.25,150.75,987.7,23.0,680.0,3.906,34.6,39.5,57.4,452.0,14.5,640.0,2.705,26.2,992.1,49.5,-4.399999999999977,10,2020
62,0,,7,2020-10-24 12,2020-10-26 00,54.25,203.5,991.3,23.1,580.0,4.357,36.2,33.4,47.3,492.0,13.8,540.0,2.725,27.3,1001.1,42.75,-9.800000000000068,10,2020
63,0,,5,2020-10-25 12,2020-10-25 12,32.75,200.0,1009.4,6.4,720.0,1.064,15.3,29.2,40.5,461.0,nan,nan,nan,nan,nan,nan,nan,10,2020
64,0,,6,2020-10-26 00,2020-10-26 00,44.75,175.25,1006.4,8.6,410.0,2.059,20.2,28.6,40.4,343.0,nan,nan,nan,nan,nan,nan,nan,10,2020
65,0,,3,2020-10-26 12,2020-10-26 12,53.75,163.5,1001.1,11.0,900.0,1.752,18.0,25.3,31.5,497.0,nan,nan,nan,nan,nan,nan,nan,10,2020
66,0,,7,2020-10-26 12,2020-10-28 00,37.0,201.0,1010.6,8.4,480.0,1.813,20.7,29.6,42.5,107.0,7.8,580.0,1.442,18.7,1012.6,34.0,-2.0,10,2020
67,0,,6,2020-10-27 06,2020-10-27 06,54.75,169.0,1002.7,14.8,570.0,2.831,25.4,29.3,40.7,318.0,nan,nan,nan,nan,nan,nan,nan,10,2020
68,1,2020-10-28 06,3,2020-10-27 18,2020-10-28 06,36.25,157.5,996.1,20.5,360.0,5.496,43.1,52.9,80.6,53.0,nan,nan,nan,nan,nan,nan,nan,10,2020
69,0,,3,2020-10-28 00,2020-10-28 12,33.75,201.75,1008.2,9.1,690.0,1.537,20.4,30.8,41.1,288.0,nan,nan,nan,nan,nan,nan,nan,10,2020
71,0,,17,2020-10-28 12,2020-10-29 12,47.75,178.25,968.0,46.5,470.0,10.081,65.5,49.0,76.6,144.0,23.2,490.0,4.852,42.2,994.3,40.0,-26.299999999999955,10,2020
73,0,,8,2020-10-28 18,2020-10-30 06,51.5,230.0,987.4,27.3,360.0,7.541,48.4,46.2,63.5,121.0,12.0,300.0,3.803,29.1,1007.6,47.25,-20.200000000000045,10,2020
75,0,,4,2020-10-29 00,2020-10-29 00,30.5,201.5,1005.6,8.7,710.0,1.46,20.8,34.3,43.2,486.0,nan,nan,nan,nan,nan,nan,nan,10,2020
77,0,,3,2020-10-29 12,2020-10-30 00,45.0,145.25,1006.9,14.3,460.0,3.149,28.8,29.1,40.8,222.0,nan,nan,nan,nan,nan,nan,nan,10,2020
78,0,,3,2020-10-30 06,2020-10-30 12,46.5,149.25,1004.6,15.9,390.0,3.976,32.5,33.1,47.0,113.0,nan,nan,nan,nan,nan,nan,nan,10,2020
81,0,,12,2020-10-31 00,2020-10-31 18,49.0,160.5,986.7,30.4,480.0,6.422,47.9,42.7,65.4,107.0,nan,nan,nan,nan,nan,nan,nan,10,2020
85,0,,3,2020-10-31 12,2020-11-01 00,41.0,210.25,995.2,13.0,680.0,2.279,25.3,35.1,50.7,459.0,nan,nan,nan,nan,nan,nan,nan,11,2020
86,0,,5,2020-11-01 06,2020-11-02 06,57.0,222.5,977.0,33.2,530.0,6.481,47.2,39.1,71.9,463.0,16.6,610.0,3.072,29.6,991.9,46.5,-14.899999999999977,11,2020
87,0,,10,2020-11-01 18,2020-11-02 00,39.75,196.25,995.3,11.3,480.0,2.418,25.1,34.1,46.1,194.0,nan,nan,nan,nan,nan,nan,nan,11,2020
89,0,,14,2020-11-03 00,2020-11-05 00,52.5,222.5,972.6,39.4,560.0,7.664,55.5,47.9,71.6,98.0,19.3,480.0,4.141,34.9,991.0,48.0,-18.399999999999977,11,2020
90,0,,5,2020-11-03 00,2020-11-04 00,55.5,233.75,994.3,12.5,360.0,3.467,27.0,28.1,52.7,391.0,5.7,410.0,1.439,14.6,999.8,48.0,-5.5,11,2020
92,0,,4,2020-11-03 06,2020-11-04 00,56.5,144.0,970.3,31.8,410.0,7.893,50.8,38.3,56.7,173.0,nan,nan,nan,nan,nan,nan,nan,11,2020
97,0,,4,2020-11-04 06,2020-11-05 00,57.75,167.0,959.9,32.7,780.0,5.418,44.7,44.0,70.6,397.0,nan,nan,nan,nan,nan,nan,nan,11,2020
98,0,,5,2020-11-04 12,2020-11-04 12,56.0,145.0,970.3,26.0,390.0,6.815,45.2,38.0,53.6,157.0,nan,nan,nan,nan,nan,nan,nan,11,2020
99,0,,10,2020-11-05 12,2020-11-07 18,43.25,193.75,997.3,18.6,620.0,3.298,32.5,54.5,78.8,145.0,18.9,420.0,4.429,40.8,998.7,32.0,-1.400000000000091,11,2020
100,0,,12,2020-11-05 18,2020-11-07 06,33.5,181.5,1008.4,6.6,320.0,2.045,21.5,34.0,49.2,354.0,6.5,240.0,2.59,22.4,1015.0,37.75,-6.600000000000023,11,2020
