track,hf,onset,n,start,peak_when,peak_lat,peak_lon,min_p,peak_depth,peak_scale_km,peak_grad,peak_vg_kt,max_wind_kt,max_gust_kt,peak_wind_dist_km,pre_depth,pre_scale_km,pre_grad,pre_vg_kt,pre_p,pre_lat,deepen24,month,season
523,0,,11,2022-01-26 00,2022-01-27 18,54.0,208.25,984.9,27.2,660.0,4.664,39.3,37.6,55.7,466.0,24.8,640.0,4.356,38.8,989.8,48.25,-4.899999999999977,1,2021
525,0,,4,2022-01-26 12,2022-01-26 18,42.0,186.0,983.7,19.3,200.0,9.15,46.6,42.9,63.3,86.0,nan,nan,nan,nan,nan,nan,nan,1,2021
526,1,2022-01-28 06,14,2022-01-27 12,2022-01-28 12,45.75,177.75,964.6,40.4,270.0,14.558,68.5,56.6,81.7,167.0,15.8,330.0,4.632,37.4,990.4,36.25,-25.799999999999955,1,2021
527,0,,3,2022-01-28 00,2022-01-28 00,43.25,204.75,991.5,18.1,330.0,5.349,39.1,37.2,48.0,306.0,nan,nan,nan,nan,nan,nan,nan,1,2021
528,0,,3,2022-01-29 00,2022-01-29 00,56.75,151.5,987.9,22.1,580.0,4.097,33.9,39.6,50.6,139.0,nan,nan,nan,nan,nan,nan,nan,1,2021
530,1,2022-01-30 00,11,2022-01-29 06,2022-01-30 06,44.0,190.5,964.2,41.5,420.0,9.872,63.6,50.1,74.4,213.0,19.4,300.0,6.197,45.6,989.5,30.75,-25.299999999999955,1,2021
531,0,,3,2022-01-30 00,2022-01-30 06,37.0,176.75,987.1,16.9,340.0,4.811,38.5,41.0,60.8,259.0,nan,nan,nan,nan,nan,nan,nan,1,2021
532,0,,4,2022-01-30 00,2022-01-30 00,58.0,213.5,990.5,24.4,650.0,4.292,35.7,33.8,49.1,257.0,nan,nan,nan,nan,nan,nan,nan,1,2021
533,0,,6,2022-01-31 00,2022-01-31 18,50.0,160.5,969.3,24.4,590.0,4.65,39.5,34.5,51.3,390.0,nan,nan,nan,nan,nan,nan,nan,1,2021
534,0,,9,2022-01-31 12,2022-02-01 12,52.0,167.0,961.8,29.1,370.0,7.861,50.1,51.4,67.7,122.0,17.7,270.0,6.28,41.2,980.9,41.5,-19.100000000000023,2,2021
535,1,2022-02-01 12,26,2022-02-01 00,2022-02-02 06,49.75,184.25,947.1,42.5,440.0,9.889,62.6,56.7,86.9,222.0,31.5,360.0,8.604,55.7,963.5,42.0,-16.399999999999977,2,2021
536,0,,3,2022-02-01 06,2022-02-01 18,57.25,192.25,991.0,16.1,610.0,2.833,25.2,30.2,42.8,364.0,nan,nan,nan,nan,nan,nan,nan,2,2021
538,0,,4,2022-02-03 00,2022-02-03 00,49.75,199.0,977.8,16.7,570.0,3.228,29.5,31.6,47.1,493.0,nan,nan,nan,nan,nan,nan,nan,2,2021
539,1,2022-02-03 12,10,2022-02-03 00,2022-02-04 00,45.75,190.5,959.5,36.8,350.0,10.308,60.8,54.9,78.5,222.0,16.0,340.0,4.529,37.3,985.1,36.0,-25.600000000000023,2,2021
542,0,,4,2022-02-05 12,2022-02-06 00,53.75,208.0,976.3,26.3,550.0,5.196,41.1,40.5,57.0,354.0,nan,nan,nan,nan,nan,nan,nan,2,2021
543,1,2022-02-06 06,12,2022-02-05 12,2022-02-06 06,40.25,173.25,969.0,29.7,420.0,7.137,52.5,52.5,80.8,170.0,nan,nan,nan,nan,nan,nan,nan,2,2021
544,0,,6,2022-02-05 12,2022-02-05 18,42.75,196.75,985.2,21.1,310.0,6.626,44.4,41.7,60.0,306.0,nan,nan,nan,nan,nan,nan,nan,2,2021
545,1,2022-02-08 12,7,2022-02-08 00,2022-02-08 12,41.5,192.0,972.1,29.7,460.0,6.552,50.5,45.0,66.2,104.0,nan,nan,nan,nan,nan,nan,nan,2,2021
547,0,,11,2022-02-10 06,2022-02-10 18,52.5,185.25,990.3,21.5,470.0,4.717,37.1,37.6,52.9,201.0,nan,nan,nan,nan,nan,nan,nan,2,2021
548,0,,3,2022-02-10 18,2022-02-10 18,48.5,195.0,991.9,17.2,940.0,2.86,29.5,31.2,43.7,124.0,nan,nan,nan,nan,nan,nan,nan,2,2021
549,0,,3,2022-02-10 18,2022-02-11 06,32.25,150.0,990.2,21.7,440.0,4.954,44.5,46.8,63.3,73.0,nan,nan,nan,nan,nan,nan,nan,2,2021
550,1,2022-02-13 00,22,2022-02-11 12,2022-02-13 18,44.25,177.0,945.8,48.3,700.0,8.18,65.5,49.9,84.7,429.0,43.7,700.0,7.331,63.7,955.9,38.25,-10.100000000000023,2,2021
553,0,,3,2022-02-12 06,2022-02-12 12,48.0,196.5,996.7,20.2,270.0,7.298,43.8,38.1,58.0,142.0,nan,nan,nan,nan,nan,nan,nan,2,2021
555,1,2022-02-15 12,20,2022-02-14 00,2022-02-16 00,45.0,178.0,959.3,38.8,360.0,10.731,63.2,62.2,92.5,199.0,25.1,270.0,8.939,52.9,981.5,36.75,-22.200000000000045,2,2021
558,0,,3,2022-02-17 06,2022-02-17 18,38.0,153.5,989.0,20.7,470.0,4.449,39.9,43.1,58.4,92.0,nan,nan,nan,nan,nan,nan,nan,2,2021
559,0,,11,2022-02-18 00,2022-02-19 12,51.5,168.75,976.9,31.4,660.0,5.484,45.4,41.6,56.8,481.0,22.0,770.0,3.622,36.1,985.2,44.5,-8.300000000000068,2,2021
560,0,,4,2022-02-19 00,2022-02-19 06,33.25,200.25,1005.7,19.7,350.0,5.431,43.4,39.0,54.4,143.0,nan,nan,nan,nan,nan,nan,nan,2,2021
561,1,2022-02-20 00,7,2022-02-20 00,2022-02-21 00,54.25,179.75,977.0,31.0,760.0,5.044,43.0,48.5,66.7,486.0,20.8,470.0,4.51,38.5,991.4,43.25,-14.399999999999977,2,2021
562,1,2022-02-21 06,17,2022-02-20 00,2022-02-21 06,45.0,151.25,951.6,46.1,640.0,8.156,63.4,50.8,77.9,274.0,26.4,450.0,5.979,47.0,983.4,41.75,-31.799999999999955,2,2021
566,0,,5,2022-02-22 00,2022-02-22 18,52.75,163.25,956.8,28.1,700.0,4.925,42.0,47.7,74.3,179.0,nan,nan,nan,nan,nan,nan,nan,2,2021
567,0,,3,2022-02-22 00,2022-02-22 00,36.75,200.25,1002.6,16.7,450.0,3.728,35.2,37.3,52.0,120.0,nan,nan,nan,nan,nan,nan,nan,2,2021
568,0,,3,2022-02-23 12,2022-02-24 00,57.0,184.0,963.5,23.3,660.0,4.097,34.7,33.9,46.1,244.0,nan,nan,nan,nan,nan,nan,nan,2,2021
569,0,,7,2022-02-24 06,2022-02-25 18,57.0,197.0,969.5,23.0,690.0,3.912,33.7,38.2,60.9,475.0,19.1,430.0,4.541,36.0,977.5,49.25,-8.0,2,2021
571,0,,9,2022-02-26 00,2022-02-27 00,55.5,219.0,985.4,19.9,560.0,3.903,32.7,37.5,55.1,378.0,15.1,650.0,2.575,25.3,995.0,49.0,-9.600000000000023,2,2021
572,0,,3,2022-02-27 12,2022-02-28 00,42.75,208.5,984.4,24.5,410.0,5.936,45.1,42.5,67.2,359.0,nan,nan,nan,nan,nan,nan,nan,2,2021
573,0,,16,2022-02-28 00,2022-03-01 18,53.5,171.0,960.7,35.2,700.0,5.852,47.7,42.4,62.4,289.0,29.4,650.0,5.165,44.6,968.1,47.5,-7.399999999999977,3,2021
574,0,,7,2022-02-28 06,2022-02-28 06,42.5,209.25,984.6,26.8,420.0,6.316,47.5,40.9,60.5,389.0,nan,nan,nan,nan,nan,nan,nan,2,2021
575,0,,9,2022-03-01 18,2022-03-02 18,56.25,181.0,971.3,26.0,450.0,5.856,42.1,40.1,55.7,266.0,20.4,510.0,4.27,35.5,977.6,51.0,-6.300000000000068,3,2021
576,0,,7,2022-03-02 18,2022-03-04 06,56.75,195.0,972.9,31.2,430.0,7.357,48.9,41.6,62.0,152.0,21.7,370.0,5.83,42.0,980.9,47.0,-8.0,3,2021
578,0,,3,2022-03-03 12,2022-03-03 12,54.75,153.25,981.4,19.7,600.0,3.54,30.8,32.0,44.1,404.0,nan,nan,nan,nan,nan,nan,nan,3,2021
579,0,,5,2022-03-03 18,2022-03-04 12,31.75,209.25,1001.5,19.1,320.0,5.736,44.1,42.7,58.3,357.0,nan,nan,nan,nan,nan,nan,nan,3,2021
580,0,,4,2022-03-04 06,2022-03-04 06,58.0,172.5,977.4,21.5,540.0,4.193,33.7,41.2,61.7,199.0,nan,nan,nan,nan,nan,nan,nan,3,2021
581,0,,5,2022-03-04 06,2022-03-05 06,48.0,174.0,973.7,30.0,500.0,6.24,47.8,48.0,71.2,176.0,18.5,270.0,6.649,42.3,985.7,43.25,-12.0,3,2021
582,0,,7,2022-03-05 12,2022-03-05 18,51.75,173.75,968.4,38.4,580.0,7.155,53.6,45.1,64.7,268.0,nan,nan,nan,nan,nan,nan,nan,3,2021
583,0,,5,2022-03-06 00,2022-03-06 18,42.5,148.5,979.4,23.6,520.0,4.76,41.4,43.5,62.5,154.0,nan,nan,nan,nan,nan,nan,nan,3,2021
584,0,,5,2022-03-06 06,2022-03-06 12,48.0,202.75,1000.2,19.4,430.0,4.56,36.5,36.9,50.9,306.0,nan,nan,nan,nan,nan,nan,nan,3,2021
585,0,,8,2022-03-06 18,2022-03-07 12,48.5,157.25,971.1,30.2,640.0,5.373,45.5,44.0,60.7,377.0,nan,nan,nan,nan,nan,nan,nan,3,2021
586,0,,3,2022-03-08 00,2022-03-08 06,45.0,171.5,981.5,20.6,790.0,3.413,34.5,41.1,57.2,473.0,nan,nan,nan,nan,nan,nan,nan,3,2021
593,0,,5,2022-03-09 06,2022-03-10 06,51.5,194.5,981.4,21.2,760.0,3.517,32.9,33.8,45.4,496.0,16.3,480.0,3.577,31.9,989.6,45.75,-8.200000000000045,3,2021
594,0,,4,2022-03-09 18,2022-03-10 12,49.75,171.75,987.4,17.8,790.0,2.863,28.4,34.7,48.1,490.0,nan,nan,nan,nan,nan,nan,nan,3,2021
595,0,,4,2022-03-10 12,2022-03-10 12,51.5,195.75,978.4,23.4,690.0,4.03,36.1,36.5,47.4,396.0,nan,nan,nan,nan,nan,nan,nan,3,2021
596,0,,4,2022-03-10 18,2022-03-10 18,50.25,166.75,987.5,19.9,750.0,3.225,30.9,33.9,45.5,497.0,nan,nan,nan,nan,nan,nan,nan,3,2021
597,1,2022-03-12 00,18,2022-03-11 06,2022-03-12 18,44.75,196.0,957.4,46.2,410.0,11.266,68.4,62.1,90.0,162.0,26.1,360.0,7.035,50.6,985.3,36.5,-27.899999999999977,3,2021
598,0,,3,2022-03-11 12,2022-03-11 12,53.5,194.75,985.5,16.8,840.0,2.716,26.4,32.2,43.0,225.0,nan,nan,nan,nan,nan,nan,nan,3,2021
600,0,,3,2022-03-12 18,2022-03-13 00,46.25,228.5,988.7,23.2,370.0,6.222,44.1,41.0,59.6,204.0,nan,nan,nan,nan,nan,nan,nan,3,2021
601,0,,3,2022-03-12 18,2022-03-13 06,44.0,164.25,996.9,15.8,580.0,2.925,28.9,36.2,51.3,494.0,nan,nan,nan,nan,nan,nan,nan,3,2021
602,0,,5,2022-03-14 00,2022-03-15 00,49.25,196.5,980.5,20.0,560.0,3.847,33.9,33.2,44.8,451.0,15.7,720.0,2.661,27.6,990.4,45.0,-9.899999999999977,3,2021
603,0,,10,2022-03-14 12,2022-03-15 18,43.5,172.75,988.0,24.8,400.0,6.103,45.4,43.9,63.2,145.0,17.9,350.0,4.961,38.3,997.4,41.5,-9.399999999999977,3,2021
604,0,,6,2022-03-15 06,2022-03-15 12,50.75,198.75,974.3,27.2,520.0,5.509,43.2,34.7,49.5,206.0,nan,nan,nan,nan,nan,nan,nan,3,2021
608,0,,14,2022-03-17 00,2022-03-19 00,55.0,213.75,974.3,31.9,530.0,6.39,47.2,42.7,60.3,153.0,21.4,580.0,4.008,34.2,984.9,53.25,-10.600000000000023,3,2021
609,0,,3,2022-03-17 12,2022-03-17 18,55.25,202.0,989.9,15.5,650.0,2.873,26.2,32.6,45.4,424.0,nan,nan,nan,nan,nan,nan,nan,3,2021
610,0,,7,2022-03-17 12,2022-03-18 06,41.0,168.25,980.7,30.9,490.0,6.507,51.5,45.9,66.7,202.0,nan,nan,nan,nan,nan,nan,nan,3,2021
611,1,2022-03-19 00,11,2022-03-17 18,2022-03-19 00,42.0,183.25,964.8,47.5,350.0,13.326,72.8,53.1,73.2,168.0,17.2,250.0,6.593,44.0,996.6,31.25,-31.800000000000068,3,2021
612,0,,8,2022-03-19 06,2022-03-20 06,47.0,152.5,972.5,35.7,600.0,6.553,52.4,42.3,63.2,496.0,36.9,360.0,10.004,61.8,973.3,40.75,-0.7999999999999545,3,2021
613,0,,3,2022-03-19 18,2022-03-20 00,48.25,204.5,984.4,22.0,540.0,4.407,37.6,35.3,48.6,158.0,nan,nan,nan,nan,nan,nan,nan,3,2021
614,0,,5,2022-03-20 12,2022-03-20 12,53.0,216.5,983.6,23.5,630.0,4.163,35.9,33.5,49.5,498.0,nan,nan,nan,nan,nan,nan,nan,3,2021
616,0,,10,2022-03-20 18,2022-03-22 18,57.5,215.0,974.6,33.7,700.0,5.775,46.0,40.0,57.7,495.0,29.6,540.0,5.858,46.2,980.8,49.25,-6.199999999999932,3,2021
620,0,,5,2022-03-23 06,2022-03-24 00,47.0,210.5,991.2,21.9,560.0,4.231,37.2,35.7,51.4,235.0,nan,nan,nan,nan,nan,nan,nan,3,2021
621,0,,3,2022-03-23 12,2022-03-23 12,40.25,166.0,1004.4,18.2,370.0,4.748,38.2,39.3,60.1,120.0,nan,nan,nan,nan,nan,nan,nan,3,2021
623,0,,6,2022-03-24 12,2022-03-25 00,54.75,212.25,986.2,23.6,710.0,4.019,35.2,40.7,57.0,496.0,nan,nan,nan,nan,nan,nan,nan,3,2021
624,0,,11,2022-03-24 12,2022-03-26 00,50.0,180.5,979.6,31.9,390.0,8.035,52.3,38.3,57.4,242.0,27.2,490.0,5.68,46.0,989.9,43.25,-10.299999999999955,3,2021
625,0,,3,2022-03-26 06,2022-03-26 18,39.75,180.75,994.1,25.4,410.0,6.091,47.0,46.1,65.3,111.0,nan,nan,nan,nan,nan,nan,nan,3,2021
626,0,,8,2022-03-26 12,2022-03-27 00,40.75,222.75,988.0,26.7,370.0,6.965,49.3,46.6,67.7,101.0,nan,nan,nan,nan,nan,nan,nan,3,2021
627,0,,13,2022-03-26 18,2022-03-27 18,50.75,148.5,965.9,38.0,510.0,7.861,55.6,42.9,62.3,238.0,22.7,730.0,3.701,36.1,989.3,45.25,-23.399999999999977,3,2021
629,0,,9,2022-03-27 06,2022-03-28 00,55.0,200.0,970.0,36.4,700.0,6.106,48.8,38.2,55.3,497.0,nan,nan,nan,nan,nan,nan,nan,3,2021
630,0,,8,2022-03-29 06,2022-03-30 06,55.25,179.25,972.7,26.7,610.0,4.856,39.6,39.0,51.4,115.0,18.7,670.0,3.278,30.6,979.7,50.5,-7.0,3,2021
631,0,,4,2022-03-29 18,2022-03-30 00,52.75,225.0,989.9,20.8,320.0,6.376,41.3,41.9,59.0,122.0,nan,nan,nan,nan,nan,nan,nan,3,2021
632,0,,4,2022-03-30 06,2022-03-30 12,51.75,149.0,988.6,24.6,470.0,5.312,40.7,36.8,51.5,83.0,nan,nan,nan,nan,nan,nan,nan,3,2021
634,0,,7,2022-03-31 12,2022-04-01 12,57.5,208.5,977.3,28.2,500.0,5.842,42.9,44.5,59.1,139.0,19.3,480.0,4.101,33.7,990.2,51.75,-12.900000000000091,4,2021
637,0,,7,2022-04-02 06,2022-04-03 06,56.25,219.75,975.8,24.7,550.0,4.814,38.2,42.7,56.4,352.0,21.3,640.0,3.766,33.4,984.5,52.5,-8.700000000000045,4,2021
639,1,2022-04-03 18,7,2022-04-03 06,2022-04-04 06,51.0,221.25,974.9,24.4,510.0,5.014,40.0,46.8,71.3,292.0,17.0,400.0,4.213,33.5,987.4,49.25,-12.5,4,2021
640,0,,5,2022-04-04 12,2022-04-05 12,37.75,154.5,1000.0,21.5,450.0,4.733,41.3,44.5,62.5,94.0,15.1,420.0,3.508,34.4,1008.9,33.0,-8.899999999999977,4,2021
642,0,,7,2022-04-06 06,2022-04-06 18,52.25,220.0,988.3,30.2,370.0,7.947,50.4,43.3,66.0,236.0,nan,nan,nan,nan,nan,nan,nan,4,2021
644,0,,10,2022-04-06 18,2022-04-07 06,42.0,175.75,995.7,19.5,690.0,3.317,33.9,35.0,49.6,215.0,nan,nan,nan,nan,nan,nan,nan,4,2021
647,0,,4,2022-04-09 12,2022-04-09 12,42.0,185.5,999.4,15.0,700.0,2.553,27.5,31.8,41.7,473.0,nan,nan,nan,nan,nan,nan,nan,4,2021
648,0,,13,2022-04-10 00,2022-04-11 18,49.75,172.5,991.6,21.5,800.0,3.467,33.3,36.4,50.1,478.0,18.6,590.0,3.394,31.5,997.8,47.75,-6.199999999999932,4,2021
650,0,,4,2022-04-12 06,2022-04-12 06,50.25,235.0,1005.8,18.2,610.0,3.238,29.8,31.5,46.9,491.0,nan,nan,nan,nan,nan,nan,nan,4,2021
651,0,,4,2022-04-14 12,2022-04-15 06,57.0,191.5,975.8,33.6,650.0,5.925,46.3,39.3,53.0,379.0,nan,nan,nan,nan,nan,nan,nan,4,2021
652,0,,17,2022-04-15 18,2022-04-17 00,47.0,161.0,964.9,45.4,500.0,9.327,63.7,50.4,73.7,353.0,35.3,480.0,7.508,59.4,975.4,34.25,-10.5,4,2021
653,0,,6,2022-04-16 12,2022-04-17 06,49.75,210.0,993.9,21.2,460.0,4.671,37.3,35.2,49.2,167.0,nan,nan,nan,nan,nan,nan,nan,4,2021
654,0,,3,2022-04-17 18,2022-04-18 06,50.0,220.75,997.1,15.8,490.0,3.428,29.9,37.8,54.0,496.0,nan,nan,nan,nan,nan,nan,nan,4,2021
655,0,,3,2022-04-18 12,2022-04-19 00,51.5,227.0,991.1,16.5,560.0,3.087,27.9,32.9,49.1,185.0,nan,nan,nan,nan,nan,nan,nan,4,2021
656,0,,6,2022-04-19 18,2022-04-20 12,46.75,218.0,982.4,22.6,670.0,3.982,37.0,34.8,48.3,238.0,nan,nan,nan,nan,nan,nan,nan,4,2021
657,0,,3,2022-04-19 18,2022-04-20 06,51.5,165.75,989.7,17.1,380.0,4.449,33.8,35.7,50.5,238.0,nan,nan,nan,nan,nan,nan,nan,4,2021
658,0,,20,2022-04-19 18,2022-04-21 00,50.75,177.5,963.0,42.8,480.0,9.128,60.6,48.9,71.4,178.0,22.7,580.0,4.308,38.8,990.6,44.5,-27.600000000000023,4,2021
659,0,,3,2022-04-20 18,2022-04-21 00,49.5,226.5,987.1,18.4,590.0,3.434,31.3,41.1,52.1,156.0,nan,nan,nan,nan,nan,nan,nan,4,2021
664,0,,6,2022-04-24 12,2022-04-24 18,53.5,168.75,974.3,33.9,630.0,6.031,47.7,36.3,52.0,453.0,nan,nan,nan,nan,nan,nan,nan,4,2021
665,0,,9,2022-04-25 18,2022-04-26 18,52.5,175.75,976.7,35.6,470.0,7.747,53.2,42.7,60.5,163.0,16.3,360.0,4.422,35.6,998.8,41.75,-22.09999999999991,4,2021
667,0,,10,2022-04-27 06,2022-04-27 18,51.25,148.75,956.3,48.6,470.0,10.571,66.4,47.4,68.0,268.0,nan,nan,nan,nan,nan,nan,nan,4,2021
670,0,,5,2022-04-28 18,2022-04-29 00,47.0,210.5,997.2,18.5,390.0,4.609,36.1,35.3,50.3,302.0,nan,nan,nan,nan,nan,nan,nan,4,2021
671,0,,8,2022-04-29 00,2022-04-29 18,55.0,187.0,976.7,23.4,760.0,3.94,35.0,31.3,40.7,285.0,nan,nan,nan,nan,nan,nan,nan,4,2021
672,1,2022-04-30 00,5,2022-04-29 18,2022-04-30 12,43.0,159.75,962.3,48.6,400.0,11.96,71.1,65.0,92.9,186.0,nan,nan,nan,nan,nan,nan,nan,4,2021
674,0,,8,2022-10-01 00,2022-10-01 00,57.25,178.5,958.0,49.3,440.0,11.211,65.9,44.1,63.1,390.0,nan,nan,nan,nan,nan,nan,nan,10,2022
675,0,,7,2022-10-01 12,2022-10-02 00,38.5,215.25,994.1,22.0,430.0,5.063,42.4,39.7,52.6,357.0,nan,nan,nan,nan,nan,nan,nan,10,2022
676,0,,9,2022-10-02 00,2022-10-02 06,36.75,154.25,1000.3,18.5,270.0,6.452,43.1,47.2,65.1,60.0,nan,nan,nan,nan,nan,nan,nan,10,2022
677,0,,3,2022-10-02 12,2022-10-03 00,53.5,179.75,990.6,22.0,510.0,4.448,35.9,35.3,50.1,100.0,nan,nan,nan,nan,nan,nan,nan,10,2022
679,0,,7,2022-10-03 06,2022-10-03 12,55.75,187.75,986.9,24.5,630.0,4.32,36.2,38.9,53.2,280.0,nan,nan,nan,nan,nan,nan,nan,10,2022
680,0,,3,2022-10-04 00,2022-10-04 12,57.75,155.0,985.8,24.9,600.0,4.541,36.8,38.5,53.7,251.0,nan,nan,nan,nan,nan,nan,nan,10,2022
681,0,,4,2022-10-05 06,2022-10-05 12,54.75,209.25,991.4,19.4,740.0,3.248,29.8,31.1,41.3,413.0,nan,nan,nan,nan,nan,nan,nan,10,2022
685,0,,13,2022-10-07 18,2022-10-09 06,50.75,171.75,994.0,27.1,370.0,7.158,47.3,48.1,67.7,75.0,22.8,360.0,6.19,44.9,997.3,41.75,-3.2999999999999545,10,2022
686,0,,15,2022-10-08 00,2022-10-08 06,39.5,208.0,990.6,25.0,500.0,5.154,44.5,37.2,53.2,172.0,nan,nan,nan,nan,nan,nan,nan,10,2022
687,0,,3,2022-10-08 18,2022-10-09 06,58.0,206.5,989.7,22.6,490.0,4.787,36.6,34.8,48.6,261.0,nan,nan,nan,nan,nan,nan,nan,10,2022
688,0,,6,2022-10-11 06,2022-10-11 18,53.0,148.0,981.6,32.1,530.0,6.381,47.7,38.6,64.0,466.0,nan,nan,nan,nan,nan,nan,nan,10,2022
689,0,,5,2022-10-12 00,2022-10-12 18,56.0,166.0,982.2,27.7,620.0,4.916,39.9,37.8,54.4,284.0,nan,nan,nan,nan,nan,nan,nan,10,2022
690,0,,5,2022-10-12 00,2022-10-12 12,44.0,207.5,994.8,19.6,630.0,3.485,33.8,33.6,46.0,447.0,nan,nan,nan,nan,nan,nan,nan,10,2022
693,0,,3,2022-10-13 06,2022-10-13 12,54.5,181.75,980.8,25.0,690.0,4.253,36.8,37.1,52.7,199.0,nan,nan,nan,nan,nan,nan,nan,10,2022
696,0,,6,2022-10-14 18,2022-10-15 12,55.5,202.0,983.3,19.1,830.0,3.253,30.2,38.0,54.8,270.0,nan,nan,nan,nan,nan,nan,nan,10,2022
697,1,2022-10-18 12,13,2022-10-16 12,2022-10-18 12,50.75,212.0,959.9,47.7,470.0,10.393,65.8,52.1,80.8,154.0,25.0,470.0,5.391,43.7,981.9,43.5,-22.0,10,2022
699,0,,4,2022-10-16 18,2022-10-17 12,55.5,147.0,988.7,17.6,690.0,3.059,27.8,37.8,52.2,160.0,nan,nan,nan,nan,nan,nan,nan,10,2022
702,0,,3,2022-10-20 18,2022-10-21 00,31.0,197.25,1003.2,15.6,430.0,3.601,36.0,35.0,48.8,368.0,nan,nan,nan,nan,nan,nan,nan,10,2022
703,0,,13,2022-10-21 12,2022-10-23 18,55.75,221.25,980.2,36.8,500.0,7.616,52.6,47.5,67.2,314.0,25.0,370.0,6.604,44.0,992.3,54.0,-12.099999999999909,10,2022
708,0,,6,2022-10-26 06,2022-10-27 12,46.0,158.25,1000.2,21.7,380.0,5.644,41.6,41.2,65.6,161.0,18.6,380.0,4.786,39.1,1006.7,39.0,-6.5,10,2022
709,1,2022-10-28 18,9,2022-10-27 18,2022-10-28 18,54.75,186.75,962.1,42.1,450.0,9.447,59.7,53.8,77.8,174.0,22.8,530.0,4.467,37.4,996.2,49.75,-34.10000000000002,10,2022
711,0,,24,2022-10-30 12,2022-10-31 18,42.75,166.0,985.5,27.5,470.0,5.962,47.2,44.1,68.9,218.0,22.7,520.0,4.561,41.2,994.5,39.75,-9.0,10,2022
713,0,,5,2022-10-31 18,2022-11-01 18,56.5,193.25,982.6,25.3,580.0,4.813,38.5,36.4,52.8,255.0,15.3,540.0,3.086,28.5,995.9,48.25,-13.299999999999955,11,2022
716,0,,4,2022-11-03 18,2022-11-04 06,52.5,146.75,988.5,18.8,690.0,3.265,30.1,34.1,47.6,398.0,nan,nan,nan,nan,nan,nan,nan,11,2022
717,0,,3,2022-11-04 18,2022-11-04 18,56.75,150.75,983.7,21.9,760.0,3.646,32.4,35.4,49.4,485.0,nan,nan,nan,nan,nan,nan,nan,11,2022
719,0,,4,2022-11-05 18,2022-11-06 12,50.75,231.5,997.5,25.0,720.0,4.053,36.8,36.1,52.2,488.0,nan,nan,nan,nan,nan,nan,nan,11,2022
721,0,,7,2022-11-06 18,2022-11-07 06,47.0,232.25,995.5,23.2,1100.0,3.7,38.2,36.2,51.6,322.0,nan,nan,nan,nan,nan,nan,nan,11,2022
722,0,,4,2022-11-06 18,2022-11-07 12,57.75,187.5,983.4,28.1,700.0,4.696,39.0,43.4,61.7,486.0,nan,nan,nan,nan,nan,nan,nan,11,2022
723,1,2022-11-09 12,15,2022-11-08 18,2022-11-10 18,51.0,185.0,963.6,43.0,610.0,7.658,57.4,54.2,83.0,369.0,42.1,490.0,8.825,61.3,970.9,46.0,-7.2999999999999545,11,2022
724,0,,7,2022-11-09 00,2022-11-09 12,57.25,208.5,989.6,23.3,530.0,4.518,35.8,40.5,58.3,391.0,nan,nan,nan,nan,nan,nan,nan,11,2022
725,0,,12,2022-11-09 18,2022-11-11 18,53.25,167.5,983.7,22.0,580.0,4.174,35.3,43.6,62.3,474.0,23.8,670.0,4.046,35.7,986.9,52.25,-3.199999999999932,11,2022
728,0,,5,2022-11-12 12,2022-11-12 12,56.5,196.5,980.7,20.2,750.0,3.383,30.5,34.2,49.4,409.0,nan,nan,nan,nan,nan,nan,nan,11,2022
729,0,,3,2022-11-13 06,2022-11-13 18,56.75,208.75,987.4,22.2,510.0,4.566,35.9,40.2,61.2,186.0,nan,nan,nan,nan,nan,nan,nan,11,2022
730,0,,9,2022-11-13 12,2022-11-15 06,55.0,163.5,975.3,31.8,750.0,5.144,43.4,40.9,62.1,496.0,31.5,460.0,6.893,50.2,977.8,47.5,-2.5,11,2022
731,0,,10,2022-11-13 18,2022-11-14 06,48.25,199.0,977.5,34.5,350.0,9.686,57.7,43.6,63.9,79.0,nan,nan,nan,nan,nan,nan,nan,11,2022
733,0,,3,2022-11-15 06,2022-11-15 12,45.25,172.5,988.5,21.3,460.0,4.676,38.6,46.7,68.6,65.0,nan,nan,nan,nan,nan,nan,nan,11,2022
734,1,2022-11-16 12,24,2022-11-16 00,2022-11-17 18,44.25,167.25,977.5,33.8,430.0,7.849,54.9,47.5,77.3,336.0,29.9,380.0,7.707,53.0,983.3,41.25,-5.7999999999999545,11,2022
735,0,,3,2022-11-16 06,2022-11-16 06,41.75,203.75,996.2,18.4,660.0,3.159,32.4,34.1,47.7,335.0,nan,nan,nan,nan,nan,nan,nan,11,2022
737,0,,7,2022-11-18 12,2022-11-19 12,54.0,215.0,989.0,27.3,490.0,5.611,42.3,38.4,54.6,212.0,17.9,480.0,3.882,34.2,998.1,44.75,-9.100000000000023,11,2022
739,1,2022-11-22 00,17,2022-11-21 18,2022-11-24 06,40.25,172.5,984.5,33.3,520.0,6.609,53.3,48.5,71.4,493.0,27.1,600.0,4.894,48.2,989.5,33.25,-5.0,11,2022
741,0,,6,2022-11-22 00,2022-11-23 00,57.0,154.5,979.0,36.4,590.0,6.749,49.9,40.1,60.5,481.0,18.4,530.0,3.725,32.7,1000.2,49.0,-21.200000000000045,11,2022
742,1,2022-11-22 18,6,2022-11-22 00,2022-11-22 18,41.25,200.75,975.4,43.3,460.0,9.543,65.2,57.5,89.3,245.0,nan,nan,nan,nan,nan,nan,nan,11,2022
