track,hf,onset,n,start,peak_when,peak_lat,peak_lon,min_p,peak_depth,peak_scale_km,peak_grad,peak_vg_kt,max_wind_kt,max_gust_kt,peak_wind_dist_km,pre_depth,pre_scale_km,pre_grad,pre_vg_kt,pre_p,pre_lat,deepen24,month,season
45,1,2020-11-15 00,7,2020-11-14 06,2020-11-15 06,51.5,227.5,970.1,38.4,400.0,9.553,58.8,50.4,76.5,222.0,15.7,340.0,4.499,33.7,995.2,48.75,-25.100000000000023,11,2020
46,0,,3,2020-11-14 06,2020-11-14 18,52.5,156.0,995.3,21.7,650.0,3.795,33.7,35.2,50.3,381.0,nan,nan,nan,nan,nan,nan,nan,11,2020
48,0,,4,2020-11-15 00,2020-11-15 18,49.0,169.75,978.9,36.0,480.0,7.595,53.9,51.6,69.2,353.0,nan,nan,nan,nan,nan,nan,nan,11,2020
50,0,,6,2020-11-16 00,2020-11-16 00,49.5,171.25,974.3,39.0,470.0,8.426,57.4,47.1,71.2,306.0,nan,nan,nan,nan,nan,nan,nan,11,2020
51,0,,4,2020-11-16 18,2020-11-17 12,47.0,230.75,972.6,32.7,640.0,5.817,48.8,43.6,62.1,366.0,nan,nan,nan,nan,nan,nan,nan,11,2020
52,0,,6,2020-11-17 00,2020-11-18 00,56.25,168.0,955.0,45.6,420.0,10.845,63.7,45.9,68.3,125.0,16.7,530.0,3.289,29.8,994.2,48.5,-39.200000000000045,11,2020
53,0,,3,2020-11-17 18,2020-11-17 18,50.25,230.75,962.9,42.2,520.0,8.503,59.3,44.4,73.7,66.0,nan,nan,nan,nan,nan,nan,nan,11,2020
54,0,,4,2020-11-18 06,2020-11-18 06,54.75,226.5,986.6,20.4,610.0,3.661,31.7,37.3,52.5,397.0,nan,nan,nan,nan,nan,nan,nan,11,2020
55,0,,6,2020-11-19 12,2020-11-20 00,55.25,190.75,968.0,30.7,490.0,6.539,47.0,45.7,64.0,447.0,nan,nan,nan,nan,nan,nan,nan,11,2020
59,1,2020-11-23 06,13,2020-11-22 00,2020-11-23 06,55.5,200.25,957.5,44.0,560.0,8.348,58.1,50.2,75.1,337.0,24.0,580.0,4.464,39.6,982.7,45.25,-25.200000000000045,11,2020
62,0,,5,2020-11-23 00,2020-11-24 00,56.25,171.25,967.9,22.2,790.0,3.792,33.9,39.8,60.8,270.0,22.3,600.0,4.052,34.3,978.4,54.75,-10.5,11,2020
66,0,,7,2020-11-27 00,2020-11-27 06,54.5,175.5,967.3,28.8,370.0,7.67,48.7,49.9,74.0,85.0,nan,nan,nan,nan,nan,nan,nan,11,2020
67,0,,3,2020-11-27 00,2020-11-27 12,57.25,213.0,987.8,18.9,260.0,7.063,40.7,37.0,50.9,167.0,nan,nan,nan,nan,nan,nan,nan,11,2020
68,1,2020-11-27 12,9,2020-11-27 06,2020-11-28 00,54.25,195.5,965.0,32.6,530.0,6.665,48.9,46.6,69.4,225.0,nan,nan,nan,nan,nan,nan,nan,11,2020
69,1,2020-11-29 00,12,2020-11-28 06,2020-11-30 06,48.5,186.75,960.8,31.4,790.0,5.132,46.1,53.0,92.3,476.0,44.0,570.0,8.278,61.0,961.3,47.0,-0.5,11,2020
71,0,,3,2020-12-01 12,2020-12-01 12,52.0,201.75,970.2,18.1,890.0,2.937,28.9,28.6,41.6,494.0,nan,nan,nan,nan,nan,nan,nan,12,2020
72,1,2020-12-03 00,6,2020-12-02 18,2020-12-03 00,42.25,211.5,984.5,24.9,210.0,11.334,54.1,57.2,81.0,69.0,nan,nan,nan,nan,nan,nan,nan,12,2020
73,0,,4,2020-12-03 00,2020-12-03 18,50.0,187.5,976.0,26.6,470.0,5.877,44.4,43.3,62.9,142.0,nan,nan,nan,nan,nan,nan,nan,12,2020
75,0,,6,2020-12-03 12,2020-12-04 18,50.5,195.25,978.6,21.8,370.0,5.767,40.7,51.9,63.4,223.0,21.3,280.0,7.333,44.9,980.3,46.5,-1.6999999999999318,12,2020
76,0,,4,2020-12-03 18,2020-12-04 00,46.0,209.5,985.2,20.4,260.0,7.346,43.9,42.5,59.5,68.0,nan,nan,nan,nan,nan,nan,nan,12,2020
77,0,,3,2020-12-04 00,2020-12-04 00,48.25,186.5,974.9,29.5,430.0,6.95,49.2,42.2,61.0,140.0,nan,nan,nan,nan,nan,nan,nan,12,2020
78,1,2020-12-04 18,16,2020-12-04 00,2020-12-05 18,47.25,199.25,943.4,48.6,700.0,8.169,64.0,57.6,93.0,321.0,41.4,330.0,12.229,67.6,958.3,41.75,-14.899999999999977,12,2020
79,0,,3,2020-12-05 00,2020-12-05 00,45.75,213.0,988.7,16.4,470.0,3.613,31.9,36.5,49.5,86.0,nan,nan,nan,nan,nan,nan,nan,12,2020
81,0,,15,2020-12-08 18,2020-12-10 06,51.0,175.0,971.5,30.6,890.0,4.856,44.2,45.1,63.4,460.0,27.0,590.0,5.026,42.2,976.6,49.0,-5.100000000000023,12,2020
83,0,,9,2020-12-09 00,2020-12-10 00,53.25,218.25,994.3,26.3,420.0,6.247,44.0,42.1,57.0,245.0,15.3,260.0,5.615,36.7,1001.8,46.5,-7.5,12,2020
84,0,,13,2020-12-09 18,2020-12-11 18,51.0,202.5,972.0,31.3,390.0,7.937,51.6,45.3,67.0,165.0,22.7,460.0,4.959,41.1,988.6,42.75,-16.600000000000023,12,2020
86,1,2020-12-12 00,3,2020-12-11 12,2020-12-12 00,39.5,209.0,983.3,25.5,410.0,6.176,47.5,51.4,76.0,141.0,nan,nan,nan,nan,nan,nan,nan,12,2020
87,0,,4,2020-12-12 06,2020-12-13 00,48.5,219.25,971.9,34.8,700.0,5.894,49.8,46.8,69.0,238.0,nan,nan,nan,nan,nan,nan,nan,12,2020
88,1,2020-12-14 06,18,2020-12-12 12,2020-12-14 12,45.75,210.5,965.7,42.6,480.0,8.974,61.7,58.9,89.7,118.0,30.9,360.0,8.395,56.2,981.5,38.0,-15.799999999999955,12,2020
93,1,2020-12-13 12,9,2020-12-13 06,2020-12-15 00,53.25,161.5,960.2,32.6,480.0,7.146,50.4,63.5,94.7,122.0,34.5,320.0,10.526,59.2,962.5,47.5,-2.2999999999999545,12,2020
94,1,2020-12-14 00,14,2020-12-13 12,2020-12-13 18,49.25,155.75,956.1,42.5,400.0,10.767,64.4,49.8,75.3,189.0,nan,nan,nan,nan,nan,nan,nan,12,2020
95,0,,4,2020-12-13 12,2020-12-13 12,52.25,218.0,977.5,29.7,730.0,4.88,42.2,41.3,58.2,177.0,nan,nan,nan,nan,nan,nan,nan,12,2020
96,0,,3,2020-12-13 18,2020-12-14 06,58.0,206.5,981.8,21.4,620.0,3.883,32.6,37.6,51.8,161.0,nan,nan,nan,nan,nan,nan,nan,12,2020
97,1,2020-12-14 06,4,2020-12-14 00,2020-12-14 12,45.5,182.0,979.2,22.0,250.0,8.361,47.2,47.3,68.5,491.0,nan,nan,nan,nan,nan,nan,nan,12,2020
98,1,2020-12-14 12,6,2020-12-14 12,2020-12-15 00,47.0,172.5,975.4,21.0,170.0,12.368,51.5,52.4,75.7,111.0,nan,nan,nan,nan,nan,nan,nan,12,2020
102,0,,7,2020-12-16 12,2020-12-18 00,57.25,211.5,971.1,29.5,690.0,4.966,40.8,40.4,61.1,384.0,23.0,470.0,4.967,39.0,975.2,50.75,-4.100000000000023,12,2020
103,0,,3,2020-12-16 18,2020-12-17 00,48.75,232.0,986.5,24.4,430.0,5.747,42.9,40.8,57.6,96.0,nan,nan,nan,nan,nan,nan,nan,12,2020
104,0,,13,2020-12-17 00,2020-12-17 06,51.5,181.25,970.4,20.2,270.0,7.263,43.0,41.8,57.5,98.0,nan,nan,nan,nan,nan,nan,nan,12,2020
105,0,,7,2020-12-18 06,2020-12-19 18,57.75,217.5,972.1,24.5,610.0,4.542,36.9,41.3,59.8,252.0,21.8,350.0,6.189,42.2,974.4,50.0,-2.2999999999999545,12,2020
106,0,,6,2020-12-19 06,2020-12-20 12,48.75,165.5,964.4,26.5,630.0,4.803,41.5,46.2,74.3,479.0,25.3,320.0,7.472,47.9,976.9,45.25,-12.5,12,2020
