track,when,lat,lon,lead_h,hf24,hf48,depth,scale_km,grad,vg_kt,gust_kt,p_centre,up_high_hpa,up_high_rel,down_low_hpa,down_low_rel,thick_anom_m,thick_anom_east_m,thick_m,trough_km,trough_bearing,trough_anom_m,sst_grad,sst_c,hvtl,hvtu
7,2020-10-03 18,37.5,219.0,nan,0,0,5.8,210.0,2.645,21.9,36.4,1014.2,1022.2715773784344,8.057099839371858,1010.8585146719629,-3.3559628670996062,53.0615234375,101.71248064897163,5704.36279296875,1998.702685764627,312.1579992905831,-143.53759765625,1.7947981357574463,22.163415527343773,-31.438037872314453,-173.2700958251953
22,2020-10-12 12,43.75,213.75,nan,0,0,8.6,300.0,2.774,23.8,37.8,1010.3,1023.1322631607258,12.826477027913256,1011.746775287657,1.4409891548444875,87.67041015625,71.17988381249725,5611.60595703125,1499.9867086206466,306.763633749979,-269.400390625,2.3333160877227783,16.086083984375023,-476.6540222167969,-489.2444763183594
37,2020-10-18 18,55.0,221.5,nan,0,0,15.0,460.0,3.229,27.1,45.3,1007.2,1025.8573805032686,18.683064097018587,1012.6605516845939,5.486235278343884,113.91064453125,-157.9271053644694,5451.78857421875,1998.3665269427306,269.20725580288877,-95.5068359375,7.6428751945495605,11.316094970703148,-165.34861755371094,-403.93658447265625
61,2020-10-24 18,49.5,154.25,nan,0,0,14.5,640.0,2.705,26.2,55.0,992.1,1020.2777290539487,28.159687061761247,1001.9489305577267,9.830888565539226,91.689453125,0.412884450128154,5504.92431640625,989.8002370662535,244.30417180538896,-380.58544921875,8.899131774902344,5.434564208984398,5.895297527313232,-555.6151733398438
68,2020-10-27 18,32.75,153.5,12.0,1,1,8.6,620.0,1.515,20.1,40.6,1008.5,1022.2476714063318,13.730459492269347,1013.6145911610961,5.097379247033587,38.8154296875,72.03084374161514,5691.2080078125,1257.0215542152266,305.5041854876812,-147.1982421875,6.806987762451172,25.891381835937523,-180.4093780517578,-402.7817687988281
77,2020-10-29 18,45.0,145.25,nan,0,0,13.0,530.0,2.519,25.0,40.3,1007.5,1030.4608125897248,22.99731161316231,1010.0281589407418,2.5646579641793323,-143.13037109375,-80.94317036164033,5337.75439453125,297.120042679504,212.15097813373737,-326.173828125,10.496376037597656,11.756250000000023,-48.02837371826172,-233.0382537841797
87,2020-11-02 18,40.5,206.25,nan,0,0,9.8,530.0,1.968,21.5,42.6,998.4,1017.6209621100024,19.266286817033688,1003.1283227363895,4.773647443420714,70.65771484375,84.81531339410203,5591.02587890625,1647.2611300411984,283.28107538944,-313.40625,3.8278849124908447,19.409509277343773,-302.5965576171875,-412.5675048828125
99,2020-11-05 12,31.0,199.25,nan,0,0,19.8,380.0,5.038,43.4,58.5,1004.4,1033.80950624951,29.426205468259923,1017.7841123746064,13.400811593356366,32.7109375,43.987694619325026,5688.91943359375,798.5679195747439,244.98373264890085,-221.8896484375,2.388134002685547,24.077355957031273,140.8755645751953,-279.82977294921875
122,2020-11-13 06,45.75,190.75,42.0,0,1,6.7,230.0,2.689,21.3,34.2,1014.3,1034.6972318531366,20.41689738048035,1000.7556757044632,-13.524658768193035,65.16943359375,60.419206106405056,5482.32470703125,755.2325882662003,319.175246683124,-125.1376953125,2.620893716812134,9.949914550781273,-559.5704956054688,-464.2802429199219
122,2020-11-14 18,49.75,220.0,6.0,1,1,27.4,360.0,7.525,48.8,59.4,981.4,1030.1810110100485,48.77146511161095,1000.4709054372767,19.061359538839156,79.3837890625,-58.73754478790033,5406.62841796875,206.21440479158355,254.2834889936396,-189.20166015625,1.7934650182724,11.471307373046898,113.8017807006836,-571.9066772460938
