track,when,lat,lon,lead_h,hf24,hf48,depth,scale_km,grad,vg_kt,gust_kt,p_centre,up_high_hpa,up_high_rel,down_low_hpa,down_low_rel,thick_anom_m,thick_anom_east_m,thick_m,trough_km,trough_bearing,trough_anom_m,sst_grad,sst_c,hvtl,hvtu,depth_pw,dt,gfs_f024_kt
679,2021-10-15 06,51.25,160.5,nan,0,0,17.1,770.0,2.85,27.7,51.2,996.8,1027.2595851790115,30.495913304011538,1013.9245704487487,17.160898573748682,94.01513671875,0.9756715094907967,5501.08740234375,908.8858838891538,261.09801510685463,-253.50732421875,9.424384117126465,7.789178466796898,-219.49588012695312,-483.4777526855469,16.8,2021-10-15 06,56.6
700,2021-10-21 06,53.0,179.25,18.0,1,1,34.6,530.0,6.87,50.4,56.5,966.6,1014.423593157286,47.8572479424422,992.0833172657381,25.51697205089431,139.5556640625,-76.00406323014936,5533.63330078125,891.903861263238,321.7976479913291,-390.60546875,4.0457024574279785,7.297448730468773,-189.59010314941406,-615.9727172851562,25.79,2021-10-21 06,63.1
701,2021-10-21 06,45.75,223.75,0.0,1,1,50.1,410.0,12.019,71.0,78.7,956.6,1027.0573288160572,70.44868623793218,1003.3379895250717,46.72934694694675,72.310546875,53.75027579899789,5549.7255859375,365.8502456324632,219.94107346966408,-418.7294921875,2.894174814224243,14.108331298828148,-32.46464157104492,-156.0457000732422,36.14,2021-10-21 06,49.8
706,2021-10-23 06,39.5,157.5,24.0,1,1,21.6,570.0,4.011,38.5,64.5,992.5,1025.9808925607565,33.460750959194,1004.9191849002452,12.399043298682727,145.34228515625,121.78581487279695,5723.44482421875,1007.4436591086121,270.0,-294.48486328125,8.552903175354004,18.977258300781273,-202.52374267578125,-541.8959350585938,15.36,2021-10-23 06,61.1
705,2021-10-23 06,57.5,150.5,nan,0,0,14.1,470.0,3.042,25.5,32.7,996.5,1023.7918360439611,27.249233504898598,995.5781114598946,-0.9644910791679422,-158.1005859375,-166.77426328546062,5195.41943359375,1978.8281880296395,188.72758007449946,-291.62158203125,4.602199554443359,3.3735290527343977,-16.550697326660156,-159.2903594970703,14.33,2021-10-23 06,32.1
715,2021-10-26 18,37.75,202.0,nan,0,0,7.8,300.0,2.553,23.7,41.1,1011.4,1033.8177361240844,22.377245401428127,1006.6818860109372,-4.758604711719045,72.1181640625,63.92654457253611,5649.87353515625,1006.9855154546481,321.6669454775991,-241.9658203125,3.6719136238098145,21.413568115234398,-444.5997314453125,-370.9691467285156,9.15,2021-10-26 18,33.5
713,2021-10-26 18,45.25,196.0,nan,0,0,6.6,210.0,3.232,23.7,47.2,1010.5,1034.2061948385608,23.754717787779555,978.7634448859043,-31.688032164876972,-157.87744140625,2.0139103009751786,5316.9619140625,209.59374488284536,237.73578521704297,-235.77197265625,3.9635043144226074,11.467401123046898,-177.32693481445312,-559.4212036132812,12.16,2021-10-26 18,38.6
732,2021-11-02 06,43.5,222.25,18.0,1,1,16.1,460.0,3.61,32.4,52.4,990.5,1017.4472723094289,26.934943207866354,1010.6023753894849,20.090046287922405,129.17724609375,44.73511884049152,5585.365234375,1288.9907591406673,240.67920206886646,-211.65283203125,3.188702344894409,12.379418945312523,-212.61756896972656,-261.81719970703125,17.73,2021-11-02 06,47.9
740,2021-11-05 06,36.75,194.5,nan,0,0,6.3,230.0,2.692,22.9,38.0,1016.7,1021.6048259064887,4.888212136957463,1012.2522231156445,-4.464390653886767,94.2158203125,-37.48694816803459,5662.1103515625,1973.8052334307279,359.3534293942196,-214.5693359375,3.523249626159668,20.475183105468773,-312.3033142089844,-162.2758026123047,9.85,2021-11-05 06,36.2
783,2021-11-16 06,31.5,206.5,nan,0,0,12.6,400.0,3.113,31.7,49.8,1007.9,1019.2203613408217,11.333825696290432,1018.9481750678408,11.061639423309543,46.50390625,38.69309185440644,5668.43701171875,1302.771683484516,270.0,-92.1630859375,2.334702253341675,22.733300781250023,-9.201471328735352,-295.33251953125,13.28,2021-11-16 06,30.7
782,2021-11-16 06,43.5,173.25,nan,0,0,13.6,360.0,3.628,30.5,48.6,999.7,1017.461156209074,17.724828084074034,1012.1277748772472,12.391446752247248,108.9755859375,-6.232891940898704,5546.43408203125,1409.2661905456898,311.26015096983457,-284.89990234375,8.743029594421387,11.795800781250023,-346.30377197265625,-315.9414367675781,15.9,2021-11-16 06,32.4
792,2021-11-20 00,35.25,157.0,36.0,0,1,5.7,320.0,1.708,18.4,39.8,1008.9,1024.18251242805,15.282915260081154,1013.1587554600403,4.259158292071561,86.3759765625,-29.120195398049308,5630.83837890625,1487.2934807759295,345.05187842154635,-309.27490234375,7.557727813720703,22.189843750000023,-226.63172912597656,-400.3310546875,6.84,2021-11-20 00,47.8
792,2021-11-21 12,39.0,175.75,0.0,1,1,33.3,420.0,7.907,56.7,78.6,978.0,1023.1220306331697,45.14864196129474,1002.3536774171687,24.380288745293683,163.8271484375,-6.764609610207215,5642.84375,1767.277626371323,309.9745625509588,-270.61962890625,8.625720977783203,18.329736328125023,20.730939865112305,-414.5860900878906,26.41,2021-11-21 12,54.4
796,2021-11-21 12,43.75,216.0,24.0,1,1,9.4,390.0,2.333,22.3,48.7,1006.9,1022.8528617834936,15.992388150681109,1017.9574282576532,11.096954624840691,184.681640625,180.37889119229044,5592.87060546875,1552.7487660863649,279.0753023752641,-240.50634765625,3.353870153427124,11.354089355468773,-387.2183532714844,-345.3678283691406,15.47,2021-11-21 12,57.8
804,2021-11-24 12,44.5,168.75,nan,0,0,10.8,660.0,1.956,21.2,37.0,996.6,1012.0664444443237,15.463844346667429,995.8700286389294,-0.7325714587268521,75.76611328125,6.39726850065948,5487.3603515625,1771.9579606867032,271.78454539021766,-370.8095703125,8.921177864074707,7.912957763671898,-110.00979614257812,-345.7044677734375,11.59,2021-11-24 12,40.8
822,2021-11-30 18,55.75,171.0,nan,0,0,19.0,460.0,4.247,33.4,53.6,997.0,1024.5642765696198,27.52112471415103,986.4455037720771,-10.597648083391618,-36.07080078125,-225.58645358457815,5215.4443359375,1333.8858880655232,301.59364414727673,-180.9013671875,5.815226078033447,4.487176513671898,-29.51766014099121,-215.38589477539062,19.01,2021-11-30 18,43.7
855,2021-12-12 12,56.25,222.25,nan,0,0,31.5,560.0,6.092,45.9,53.4,970.4,1035.2796258518006,64.92604919164432,990.4947057334548,20.141129073298544,10.6171875,-35.06580279715745,5225.5126953125,637.9154982892684,195.5245013541602,-368.07080078125,7.467395305633545,6.495416259765648,369.0304260253906,-6.549503803253174,33.37,2021-12-12 12,33.4
869,2021-12-16 12,36.25,168.75,0.0,1,1,20.0,200.0,9.293,48.3,76.0,996.9,1023.5760821017478,26.62741266815408,1017.0817180714544,20.13304863786061,87.46728515625,-9.153695465409664,5560.80712890625,1999.2086042042638,319.20458500375656,-341.7734375,6.193885803222656,19.896142578125023,1.8261462450027466,-372.0059509277344,19.41,2021-12-16 12,50.5
888,2021-12-21 00,41.0,176.25,30.0,0,1,23.0,640.0,4.059,39.3,52.9,990.6,1017.9257815970248,27.316772807962252,1014.8542089363019,24.245200147239416,188.37353515625,130.7381867074925,5610.8818359375,1996.1840409556894,283.2048786786394,-250.5234375,6.258496284484863,14.592767333984398,-72.8928451538086,-332.81732177734375,19.76,2021-12-21 00,52.4
903,2021-12-25 00,39.5,150.75,30.0,0,1,7.9,360.0,2.31,22.7,45.2,1002.9,1041.1030499429335,38.17867250152722,986.6268353549519,-16.297542086454314,22.6767578125,-126.3617250869529,5435.04736328125,1377.1041141819132,290.6187332677765,-417.83935546875,14.782449722290039,16.520928955078148,-505.4901428222656,-356.9252014160156,11.17,2021-12-25 00,59.5
901,2021-12-25 00,36.5,178.0,6.0,1,1,26.2,590.0,4.896,46.3,77.1,980.5,1021.7999471918332,41.31062834417696,1001.0655675854762,20.576248737819924,116.67919921875,140.45226298940293,5592.62451171875,440.5226011129021,235.0175387279666,-272.61181640625,5.741273880004883,18.023095703125023,-34.42380905151367,-142.9157257080078,20.68,2021-12-25 00,43.0
917,2021-12-28 18,39.0,166.5,24.0,1,1,8.2,620.0,1.455,17.6,48.2,1003.6,1024.4014554309585,20.79574254033355,1005.4086329214838,1.802920030858786,-73.28515625,163.69002701575792,5364.8134765625,942.6410564776281,299.2878575051079,-333.828125,7.711800575256348,14.488824462890648,-459.9207763671875,-626.2616577148438,6.47,2021-12-28 18,51.2
