track,when,lat,lon,lead_h,hf24,hf48,depth,scale_km,grad,vg_kt,gust_kt,p_centre,up_high_hpa,up_high_rel,down_low_hpa,down_low_rel,thick_anom_m,thick_anom_east_m,thick_m,trough_km,trough_bearing,trough_anom_m,sst_grad,sst_c,hvtl,hvtu
7,2020-10-03 06,36.25,217.5,nan,0,0,5.7,240.0,2.217,20.4,42.0,1013.5,1019.8911917891131,6.3672660078631225,1010.1002418113745,-3.4236839698754693,22.83251953125,71.48451802321756,5697.171875,1996.0774757186448,326.44106828891506,-211.73681640625,1.5457630157470703,22.488916015625023,-102.90206909179688,-214.97157287597656
16,2020-10-10 12,57.0,221.5,nan,0,0,18.4,300.0,5.91,37.7,45.4,978.7,1004.2428035508779,25.539617515721602,992.2218479384387,13.518661903282464,38.69970703125,142.58284600629258,5402.81640625,1902.711369440578,262.28632153681747,-301.49462890625,7.025118350982666,11.372155761718773,98.7476806640625,-0.359872430562973
36,2020-10-16 12,31.5,195.0,nan,0,0,8.3,820.0,1.366,19.8,42.7,1007.1,1028.0916341613338,20.957417852740036,1009.9214296123607,2.7872133037669755,-200.25244140625,28.919606627677556,5494.869140625,228.40579350600973,211.34261379254758,-287.8974609375,2.692842483520508,24.943261718750023,-114.37816619873047,-349.9602966308594
59,2020-10-23 18,35.5,145.75,nan,0,0,13.2,280.0,4.515,35.0,66.2,994.6,1021.2368020304073,26.61900417884476,1004.5344718847919,9.916674033229356,191.1884765625,54.361097134703385,5821.64697265625,1299.9862322160025,326.9241070090543,-404.93408203125,8.110440254211426,24.799707031250023,-434.1246337890625,-289.028564453125
66,2020-10-26 18,31.5,201.5,nan,0,0,5.9,640.0,1.03,15.0,39.2,1014.5,1024.658070279767,10.19273824851689,1019.2030712432545,4.737739212004499,-5.32080078125,-37.43267284710829,5668.00830078125,415.8740620966911,285.4273465649783,-150.1796875,2.213021755218506,24.542382812500023,-124.30590057373047,-149.21661376953125
75,2020-10-29 00,30.5,201.5,nan,0,0,8.7,710.0,1.46,20.8,39.0,1005.6,1023.7857628789034,18.17913446093462,1009.8090250477325,4.202396629763712,-71.29248046875,-12.732325295962694,5605.6591796875,200.29638517156502,346.169949099462,-185.49072265625,2.1281158924102783,25.221704101562523,-0.6554394960403442,-119.76319122314453
87,2020-11-02 00,39.75,196.25,nan,0,0,11.3,480.0,2.418,25.1,46.1,995.3,1019.6177451006746,24.285164534268347,996.0857785885457,0.7531980221394861,88.68408203125,-13.758812105597368,5628.65771484375,1414.4565439222872,299.40640400371353,-276.26513671875,3.8278849124908447,16.369561767578148,-340.37835693359375,-277.9317626953125
97,2020-11-04 18,57.25,165.5,nan,0,0,28.5,790.0,4.67,39.9,63.7,967.3,1008.9621979561673,41.6763092842923,996.9123666778961,29.626478006021102,108.6416015625,13.901118305041017,5434.0341796875,1160.4887685867413,258.6989059822458,-468.8671875,15.545141220092773,5.344262695312523,41.082645416259766,-541.1182861328125
116,2020-11-10 06,44.5,213.75,nan,0,0,5.6,190.0,2.981,21.8,30.3,1024.6,1032.9137688881458,8.295604825645796,1014.4793664143166,-10.138797648183413,119.51708984375,16.27126721121936,5576.0439453125,1978.2686620077036,183.44931198930368,38.42822265625,2.9442391395568848,14.908624267578148,-219.87889099121094,-291.4649963378906
122,2020-11-14 06,48.75,210.75,18.0,1,1,15.7,340.0,4.499,33.7,47.2,995.2,1033.5745657867722,38.380107778959655,996.2887822619034,1.0943242540909068,74.2041015625,-56.965866787439786,5431.7529296875,466.6487297804624,301.81752042920976,-165.9345703125,3.0979557037353516,10.879541015625023,-209.18411254882812,-550.6303100585938
125,2020-11-14 06,30.5,155.0,nan,0,0,7.6,540.0,1.486,20.0,46.8,1009.8,1030.8302325517977,21.041170051797735,1014.7517291152759,4.962666615275907,87.63427734375,55.36051181376409,5746.40283203125,1596.854243500783,341.78953481999156,-243.24658203125,3.474029302597046,26.272973632812523,-108.50371551513672,-355.5047607421875
131,2020-11-17 00,45.25,228.75,nan,0,0,22.1,650.0,3.9,36.7,58.6,987.0,1020.1388067491588,33.15479796009629,1007.3948086892948,20.41079990023229,185.98193359375,135.47380283034056,5570.4423828125,1003.5621396470793,235.28229234651099,-264.45361328125,4.15472412109375,14.514154052734398,-235.7003936767578,-412.7829284667969
151,2020-11-21 12,42.5,161.75,42.0,0,1,13.7,650.0,2.409,25.7,44.1,995.7,1024.3742943013685,28.641262074806036,997.6143565717191,1.8813243451565995,139.8544921875,154.99565279210327,5568.82177734375,1994.995640552175,294.7843450914241,-242.2470703125,7.678750991821289,13.017297363281273,-386.8931884765625,-516.1466674804688
151,2020-11-23 00,53.5,195.75,6.0,1,1,39.2,550.0,7.533,54.2,71.2,962.9,1027.1513896421798,64.21700243514852,986.4754400447043,23.541052837673078,200.00390625,157.8769901479743,5461.92138671875,212.0874557139592,203.0193487527669,-265.4130859375,3.91711688041687,7.291955566406273,-55.621952056884766,-503.2472839355469
169,2020-11-27 06,51.75,185.0,6.0,1,1,30.5,460.0,6.693,47.9,64.2,972.1,1018.7469389821745,46.67320851342447,996.0032356033736,23.929505134623582,106.20458984375,-48.11889509511391,5368.54443359375,677.8826214738781,293.58404909853084,-378.7412109375,3.6636457443237305,5.120843505859398,-242.0491180419922,-324.8736267089844
170,2020-11-28 18,45.0,159.0,6.0,1,1,36.5,460.0,8.07,56.9,76.0,972.8,1025.6742431003834,52.876208432414614,997.290183685624,24.492149017655265,89.06396484375,48.69481609081109,5466.0654296875,203.58877327924546,196.85921007563707,-332.74658203125,6.349693298339844,8.421655273437523,-43.593231201171875,-527.3698120117188
178,2020-12-01 12,38.25,180.25,36.0,0,1,6.0,220.0,2.669,22.2,44.8,1003.9,1020.8548983319422,16.994668839754695,980.4209554629036,-23.439274029283865,31.09765625,-131.61171671762648,5491.146484375,1723.5958408051529,322.4066583335575,-381.31201171875,5.337028980255127,17.417535400390648,-491.2180480957031,-510.095947265625
181,2020-12-03 00,35.5,146.25,42.0,0,1,7.4,270.0,2.628,24.0,42.1,1011.5,1033.7159840951335,22.236736048258535,1012.2352964807758,0.7560484339007871,105.8037109375,1.2764807432087506,5601.431640625,1973.8095729184042,359.3430515618609,-357.1025390625,16.2447452545166,21.378259277343773,-475.39971923828125,-407.4639587402344
178,2020-12-03 00,42.25,211.5,0.0,1,1,24.9,210.0,11.334,54.1,81.0,984.5,1008.8902759626717,24.344011314234194,1009.4768245874072,24.930559938969736,116.72265625,159.47567505743038,5490.03466796875,1997.4967925503959,283.93558795747686,-380.51171875,3.1571125984191895,15.040673828125023,-79.68362426757812,-288.7333068847656
181,2020-12-04 12,41.75,173.75,6.0,1,1,33.0,360.0,8.901,57.0,71.7,971.0,1021.9543343801416,50.94011318873538,984.3708508081628,13.35662961675655,154.7412109375,-56.59956150846941,5549.32958984375,848.0082386707633,300.78328108893794,-339.81982421875,8.136173248291016,13.449365234375023,-50.44875717163086,-651.3146362304688
195,2020-12-09 18,49.5,174.25,nan,0,0,29.3,790.0,4.749,43.0,63.4,972.8,1021.902824725977,49.077568378320734,986.2578433920496,13.432587044393358,-47.5615234375,48.645875515898275,5251.92041015625,200.10948711443365,245.20633456060472,-367.927734375,3.622797966003418,5.093255615234398,57.66743087768555,-5.754439830780029
204,2020-12-12 00,39.5,209.0,0.0,1,1,25.5,410.0,6.176,47.5,76.0,983.3,1021.8365819086433,38.509616576612075,994.9251301062175,11.598164774186216,76.17529296875,145.55946675967908,5509.74267578125,205.20663974407583,198.29885704354686,-216.34033203125,2.647049903869629,15.554956054687523,-124.48870086669922,-403.23046875
216,2020-12-13 12,42.0,163.0,0.0,1,1,38.0,370.0,10.036,62.2,94.7,965.8,1014.1090594873344,48.269704018584434,1001.89071020765,36.051354738900045,179.630859375,47.4039890960481,5535.5205078125,1919.6654639020614,291.7645364420054,-386.49169921875,8.109537124633789,11.401696777343773,-17.8416690826416,-180.96458435058594
207,2020-12-13 12,38.0,195.0,18.0,1,1,30.9,360.0,8.395,56.2,69.4,981.5,1016.1820824524902,34.722304620459,1009.4995582156075,28.03978038357627,168.869140625,69.6432640257308,5609.4658203125,1945.5142190403442,335.2652696048631,-190.01513671875,2.9945919513702393,14.911798095703148,-42.594390869140625,-311.0777282714844
217,2020-12-13 12,47.5,157.5,12.0,1,1,35.5,450.0,7.912,54.9,64.5,966.6,1020.8538013435394,54.27964362869568,985.1057026181602,18.531544903316444,166.78125,61.20129736592759,5433.50537109375,1285.0850606643348,276.1221359524742,-386.49169921875,7.68738317489624,3.9689880371093977,209.05392456054688,-404.7636413574219
229,2020-12-17 00,40.5,185.75,nan,0,0,8.3,160.0,5.331,30.9,45.5,994.5,1013.2765681073133,18.782671622938324,995.8152246090141,1.3213281246390807,110.99951171875,149.992657791644,5502.70458984375,1989.6043353455013,282.4887317060868,-398.513671875,4.7929463386535645,12.381982421875023,-492.0732727050781,-317.22137451171875
253,2020-12-23 06,35.0,152.0,nan,0,0,6.3,230.0,2.588,22.7,42.6,1011.3,1023.1074876333455,11.853215172408,1009.3973042675493,-1.8569681933881839,-79.771484375,-95.18344218989179,5411.0146484375,1918.2176958033808,359.31982970777074,-373.62646484375,9.901400566101074,19.577905273437523,-264.18377685546875,-581.7516479492188
266,2020-12-25 12,40.25,159.25,30.0,0,1,15.9,730.0,2.623,29.0,53.7,988.0,1017.5653157505669,29.544197586504424,998.0077861379539,9.986667973891372,162.9306640625,78.52701724831896,5553.5849609375,1994.194333524959,298.1912095449263,-430.75341796875,9.01523208618164,13.884820556640648,-491.0641784667969,-494.2100830078125
269,2020-12-27 12,44.25,221.25,nan,0,0,6.1,270.0,2.227,19.6,49.1,1010.7,1026.624972231289,15.907626039882643,1009.1048443761973,-1.6125018152089297,-47.5048828125,-13.077614307385007,5273.83154296875,1999.2097753739515,281.6017769188484,-189.10205078125,2.9502899646759033,11.770410156250023,-147.2977752685547,-326.39276123046875
284,2020-12-30 18,43.5,160.5,12.0,1,1,32.6,550.0,6.342,51.3,77.0,959.5,1012.4762964763088,53.02231698412129,988.7651771745597,29.311197682372153,257.0478515625,-24.232879005115652,5590.357421875,1084.2813465786235,275.83074170932366,-487.5625,9.631397247314453,8.560144042968773,-105.56878662109375,-587.849609375
295,2021-01-05 12,52.5,221.25,6.0,1,1,25.3,590.0,4.81,39.7,73.8,963.1,1000.269314021315,37.20980474397129,997.0097744214502,33.950265144106424,203.7255859375,77.24930232239558,5416.47998046875,858.5815414858213,275.5192536069319,-459.302734375,4.29951286315918,7.373132324218773,-54.095069885253906,-333.90533447265625
296,2021-01-05 12,52.5,160.75,nan,0,0,8.0,610.0,1.527,15.5,37.1,999.7,1034.9876354456217,35.28847773077791,976.0115562033684,-23.68760151147535,-98.08056640625,-34.24212612866441,5114.673828125,925.872744275192,259.4654005929932,-347.35595703125,3.8177411556243896,2.3559509277343977,181.07391357421875,-88.90227508544922
