track,when,lat,lon,lead_h,hf24,hf48,depth,scale_km,grad,vg_kt,gust_kt,p_centre,up_high_hpa,up_high_rel,down_low_hpa,down_low_rel,thick_anom_m,thick_anom_east_m,thick_m,trough_km,trough_bearing,trough_anom_m,sst_grad,sst_c,hvtl,hvtu
3,2020-10-01 06,39.75,176.0,nan,0,0,11.0,350.0,3.037,27.5,42.5,1004.3,1018.5399920151772,14.223036448770927,995.7511468999592,-8.565808666447083,165.13427734375,-125.59437979562338,5791.91064453125,1915.4143182096757,349.1198454720691,-98.22021484375,5.0097432136535645,19.880853271484398,-216.81716918945312,-142.46006774902344
9,2020-10-05 06,46.0,146.5,nan,0,0,14.3,740.0,2.428,25.4,43.6,992.8,1020.8472293233565,28.013244948356487,1004.0594858093614,11.225501434361377,47.24755859375,13.55210288512318,5576.0830078125,863.625305101998,252.8562402513138,-396.61962890625,13.580497741699219,14.598657226562523,-377.8236083984375,-498.308837890625
29,2020-10-14 06,53.25,155.25,nan,0,0,11.7,640.0,2.09,20.3,51.9,1002.1,1022.6600097441254,20.551550271469182,1022.4338419720368,20.325382499380567,69.345703125,6.790891480107588,5455.5498046875,1131.0416922920915,296.389557210662,-343.4169921875,6.435395240783691,9.132318115234398,-450.3887634277344,-431.9054260253906
42,2020-10-21 00,44.75,174.0,nan,0,0,14.8,370.0,4.01,32.7,48.2,998.5,1029.7805040492035,31.32365590467225,1001.1209114663754,2.6640633218441963,66.35107421875,66.07126797077615,5584.2958984375,1071.1416679377635,305.1471365319401,-272.42138671875,6.558673858642578,12.680810546875023,-247.6182861328125,-484.8641662597656
61,2020-10-26 06,52.25,149.75,nan,0,0,18.7,610.0,3.374,30.3,44.5,992.6,1020.0635324091264,27.441523131782674,1000.085690710346,7.463681433002193,-25.49267578125,43.520720769401876,5353.42041015625,306.28865453045944,183.18557406958215,-223.126953125,7.402070999145508,7.680871582031273,55.429832458496094,-126.49223327636719
68,2020-10-28 06,36.25,157.5,0.0,1,1,20.5,360.0,5.496,43.1,80.6,996.1,1019.8037729919297,23.70471293333594,1006.5918687857003,10.492808727106535,61.51318359375,79.09386478898456,5680.5810546875,1994.1372450936026,290.3335940415834,-206.51708984375,7.526415824890137,21.950769042968773,-117.36195373535156,-438.1784362792969
71,2020-10-31 06,48.75,194.75,nan,0,0,29.7,540.0,5.757,45.7,49.6,984.4,1026.1275906154629,41.73537870140035,999.7703370147277,15.378125100665216,28.73486328125,157.22547050270413,5447.21435546875,223.17385839540944,184.711567622377,-221.39013671875,3.0202953815460205,10.011071777343773,97.62156677246094,-53.35691452026367
97,2020-11-04 06,51.5,161.0,nan,0,0,21.6,710.0,3.675,33.7,70.6,980.6,1013.843460771775,33.23878547880622,1011.4529737169228,30.84829842395402,109.82568359375,-23.47234424291488,5488.4052734375,1187.4883900222442,261.8138402608889,-473.90869140625,4.259041786193848,7.223901367187523,-307.5885009765625,-646.3519287109375
102,2020-11-07 18,51.75,172.0,nan,0,0,11.2,250.0,4.169,28.7,44.0,997.7,1007.7510067290887,10.058257705651158,998.3062049279918,0.6134559045542574,-78.38232421875,132.69752536226042,5299.111328125,1714.2755524512538,289.5630774792936,-320.080078125,2.177985668182373,6.227349853515648,-239.54161071777344,-238.39892578125
122,2020-11-13 18,47.5,200.75,30.0,0,1,9.8,280.0,3.298,25.7,36.5,1006.2,1034.4028408844997,28.24543121653096,992.1582062872553,-13.999203380713425,67.0419921875,-27.306966212008813,5451.49951171875,703.6994370657299,310.9480443426721,-139.22265625,2.2397966384887695,10.278833007812523,-444.7806701660156,-521.53369140625
