track,hf,when,lat,lon,p_centre,p_env,depth,scale_km,fit_rms,grad_hpa_per_100km,vg_kt,vgeo_kt,wind_kt,gust_kt,wind_dist_km
361,1,2021-11-02 12,45.5,224.25,992.1,1008.1,16.0,550.0,1.13,3.146,29.8,41.2,35.4,50.3,388.0
362,0,2021-11-02 18,55.75,216.0,985.1,1006.0,20.9,410.0,0.59,4.974,36.5,56.2,34.6,46.4,149.0
358,0,2021-11-02 18,52.25,188.0,993.3,1008.9,15.6,610.0,1.3,2.843,26.4,33.6,35.4,50.6,188.0
361,1,2021-11-02 18,47.75,227.0,994.5,1011.2,16.7,480.0,0.55,3.501,30.8,44.1,40.0,54.3,369.0
359,0,2021-11-02 18,39.0,214.0,995.2,1011.1,16.0,560.0,0.65,3.018,31.1,44.7,34.7,49.2,182.0
362,0,2021-11-03 00,57.0,214.0,984.5,1003.2,18.7,400.0,0.79,4.592,34.0,51.1,31.7,43.5,339.0
363,0,2021-11-03 00,54.0,196.75,989.2,1004.3,15.1,590.0,1.26,2.795,25.5,32.2,31.4,43.0,496.0
361,1,2021-11-03 00,50.5,227.75,994.1,1009.9,15.8,430.0,0.64,3.612,30.1,43.7,41.0,60.3,267.0
359,0,2021-11-03 00,39.5,217.5,994.8,1011.4,16.5,540.0,0.55,3.217,32.2,47.2,39.0,56.1,343.0
364,1,2021-11-03 00,36.5,150.25,1000.9,1016.2,15.3,570.0,1.44,2.891,31.1,45.4,33.6,49.0,93.0
362,0,2021-11-03 06,58.0,213.5,985.0,1001.0,16.0,410.0,1.15,3.89,29.9,42.8,32.5,43.0,238.0
363,0,2021-11-03 06,55.75,198.25,985.2,1002.4,17.2,610.0,1.5,3.189,28.2,36.0,31.0,40.0,98.0
364,1,2021-11-03 06,37.5,150.75,994.4,1014.1,19.8,520.0,1.98,3.978,38.1,61.0,38.9,54.3,129.0
359,0,2021-11-03 06,40.5,220.0,996.6,1014.1,17.5,530.0,0.6,3.418,33.2,49.1,36.8,53.7,271.0
363,0,2021-11-03 12,56.75,198.0,982.0,1001.9,19.9,530.0,1.97,4.061,33.0,45.3,32.8,47.8,81.0
359,0,2021-11-03 12,40.75,221.25,994.7,1014.9,20.2,460.0,1.03,4.406,38.4,63.0,38.5,53.1,175.0
364,1,2021-11-03 12,38.25,154.25,995.9,1015.4,19.5,640.0,1.17,3.404,35.5,51.3,43.4,62.7,52.0
363,0,2021-11-03 18,56.5,199.0,979.1,1002.7,23.6,460.0,2.41,5.294,39.2,59.2,38.5,55.9,137.0
364,1,2021-11-03 18,39.25,158.0,991.5,1014.8,23.3,560.0,1.76,4.428,41.3,65.3,42.6,67.9,250.0
359,0,2021-11-03 18,40.75,224.25,995.9,1016.7,20.8,490.0,0.91,4.314,38.5,61.7,42.5,55.4,170.0
363,0,2021-11-04 00,57.5,200.5,981.2,1002.8,21.7,540.0,1.74,4.377,35.0,48.4,37.0,54.2,217.0
364,1,2021-11-04 00,40.0,157.75,987.2,1015.2,28.0,420.0,2.54,6.639,50.1,96.4,45.7,67.3,271.0
359,0,2021-11-04 00,42.5,227.0,995.3,1014.7,19.4,550.0,0.39,3.644,34.4,50.3,39.1,54.5,278.0
364,1,2021-11-04 06,40.75,158.25,981.3,1014.3,33.1,350.0,3.0,9.151,57.8,130.8,45.4,64.8,221.0
363,0,2021-11-04 06,57.5,201.0,982.5,1004.2,21.7,530.0,1.94,4.398,35.0,48.7,33.9,48.1,213.0
365,0,2021-11-04 06,49.25,229.25,993.3,1008.5,15.2,520.0,0.45,3.06,27.9,37.7,28.7,40.8,496.0
364,1,2021-11-04 12,41.75,160.0,983.3,1015.5,32.2,400.0,2.15,7.975,55.0,111.8,42.9,61.1,196.0
363,0,2021-11-04 12,58.0,201.0,984.1,1005.0,20.9,550.0,1.85,4.115,33.4,45.3,32.6,44.3,276.0
365,0,2021-11-04 12,50.5,228.75,988.9,1005.8,16.9,500.0,1.04,3.471,30.2,42.0,29.4,39.9,105.0
364,1,2021-11-04 18,42.75,161.0,983.1,1015.3,32.1,400.0,1.91,7.964,54.6,109.5,41.3,59.4,251.0
363,0,2021-11-04 18,57.75,201.5,986.0,1005.1,19.1,580.0,1.77,3.657,30.7,40.4,31.6,45.1,383.0
365,0,2021-11-04 18,51.75,228.75,986.6,1004.4,17.8,560.0,1.54,3.392,30.1,40.3,31.6,42.9,233.0
364,1,2021-11-05 00,43.5,162.0,985.1,1015.9,30.8,430.0,1.62,7.169,51.9,97.2,39.3,57.8,230.0
365,0,2021-11-05 00,53.75,229.0,986.6,1002.9,16.3,570.0,1.29,3.029,27.1,35.1,28.1,40.0,367.0
366,0,2021-11-05 00,49.25,222.5,988.1,1004.8,16.8,460.0,2.01,3.825,32.2,47.1,33.5,48.0,107.0
363,0,2021-11-05 00,57.75,202.5,989.4,1004.6,15.2,700.0,1.08,2.657,24.3,29.3,32.8,44.0,479.0
364,1,2021-11-05 06,44.25,163.5,985.6,1015.7,30.1,450.0,1.51,6.708,50.0,89.7,38.9,55.6,279.0
366,0,2021-11-05 06,50.25,224.25,986.4,1005.2,18.9,410.0,1.95,4.699,36.2,57.0,35.4,53.8,144.0
366,0,2021-11-05 12,51.75,225.75,985.7,1005.6,19.9,410.0,1.7,4.865,36.8,57.8,34.5,48.4,287.0
364,1,2021-11-05 12,45.25,165.0,987.6,1016.4,28.8,460.0,1.4,6.318,47.9,83.0,36.8,50.0,288.0
366,0,2021-11-05 18,53.25,225.5,987.0,1005.5,18.5,420.0,1.61,4.46,34.4,51.9,35.3,52.1,238.0
364,1,2021-11-05 18,46.25,166.75,989.0,1016.2,27.2,470.0,1.32,5.852,45.4,75.6,35.0,47.2,311.0
366,0,2021-11-06 00,55.0,225.0,989.1,1004.8,15.7,400.0,1.43,4.025,31.1,45.9,32.0,45.8,241.0
364,1,2021-11-06 00,47.0,168.0,990.9,1016.6,25.7,470.0,1.33,5.517,43.3,70.4,34.0,46.6,291.0
364,1,2021-11-06 06,47.25,168.75,993.6,1015.8,22.3,470.0,1.15,4.765,38.8,60.6,32.3,44.3,319.0
364,1,2021-11-06 12,47.5,170.75,998.1,1016.2,18.1,500.0,0.82,3.676,32.4,46.5,29.6,40.0,400.0
367,0,2021-11-07 12,49.75,175.5,1001.2,1017.1,15.8,480.0,0.29,3.278,28.8,40.1,30.8,42.1,457.0
367,0,2021-11-07 18,50.5,176.25,1000.8,1017.3,16.5,450.0,0.35,3.625,30.5,43.8,32.2,44.5,421.0
367,0,2021-11-08 00,50.75,177.75,1001.0,1017.7,16.7,470.0,0.33,3.575,30.4,43.1,33.8,46.0,344.0
367,0,2021-11-08 06,51.0,180.0,1001.9,1017.1,15.2,480.0,0.27,3.223,28.1,38.7,31.4,42.6,265.0
369,0,2021-11-08 18,49.25,224.25,984.0,1006.2,22.1,650.0,1.3,3.932,35.6,48.4,37.8,54.4,445.0
370,0,2021-11-08 18,52.25,181.5,998.9,1014.1,15.2,520.0,0.63,3.044,27.1,35.9,30.3,40.0,251.0
369,0,2021-11-09 00,51.5,223.0,973.4,1004.9,31.5,600.0,1.7,5.74,46.0,68.5,40.0,56.0,451.0
370,0,2021-11-09 00,52.25,183.75,996.0,1011.9,15.8,550.0,0.92,3.079,27.6,36.3,30.1,40.1,182.0
369,0,2021-11-09 06,51.75,222.5,965.7,1004.0,38.3,550.0,2.68,7.385,54.0,87.8,44.3,73.7,495.0
370,0,2021-11-09 06,52.75,184.0,992.9,1010.7,17.8,610.0,1.03,3.218,29.1,37.7,28.4,37.1,286.0
369,0,2021-11-09 12,50.75,225.25,969.8,1004.1,34.3,580.0,2.8,6.409,49.7,77.2,44.9,71.8,140.0
370,0,2021-11-09 12,52.75,183.5,990.1,1010.1,20.0,650.0,0.87,3.503,31.5,41.1,31.9,46.1,494.0
369,0,2021-11-09 18,51.25,228.75,976.7,1007.4,30.7,510.0,2.99,6.251,47.0,74.8,42.9,64.3,117.0
370,0,2021-11-09 18,52.0,184.25,989.8,1009.3,19.5,670.0,0.67,3.362,30.8,39.8,41.6,59.0,490.0
371,0,2021-11-09 18,42.0,201.5,992.1,1007.6,15.5,420.0,1.45,3.678,32.5,51.3,29.5,41.7,312.0
