track,when,lat,lon,lead_h,hf24,hf48,depth,scale_km,grad,vg_kt,gust_kt,p_centre,up_high_hpa,up_high_rel,down_low_hpa,down_low_rel,thick_anom_m,thick_anom_east_m,thick_m,trough_km,trough_bearing,trough_anom_m,sst_grad,sst_c,hvtl,hvtu,depth_pw,dt,gfs_f024_kt
664,2021-10-07 00,47.75,171.25,nan,0,0,19.1,310.0,5.984,40.2,52.7,992.5,1024.386852741455,31.84815645239246,1012.5398958349675,20.001199545905024,38.70166015625,160.88872372124615,5518.79248046875,1099.9537502636213,333.23932769954286,-297.52490234375,4.487180709838867,10.959710693359398,-317.25933837890625,-549.551513671875,19.36,2021-10-07 00,45.2
700,2021-10-21 00,50.75,173.25,24.0,1,1,30.2,560.0,5.715,45.3,61.4,974.9,1016.4593932655018,41.51725459362683,999.056244780655,24.114106108779993,152.55078125,-37.061635021442555,5569.33447265625,1079.8856388822253,340.2466332113166,-366.42822265625,3.447455406188965,7.344323730468773,-224.80386352539062,-583.6629028320312,20.71,2021-10-21 00,61.7
706,2021-10-23 00,37.5,155.5,30.0,0,1,18.6,590.0,3.378,34.9,66.8,997.2,1027.1533485362172,29.93038711043596,1010.7448286486763,13.521867222895025,147.435546875,115.54411719689908,5751.4248046875,1290.302694120496,283.4445327951905,-295.92822265625,8.552903175354004,23.045465087890648,-229.53326416015625,-438.739013671875,15.05,2021-10-23 00,52.5
714,2021-10-26 06,36.5,145.25,0.0,1,1,23.8,290.0,7.876,50.3,78.1,994.4,1020.1234708001552,25.753536718123996,1017.1134087699938,22.74347468796259,128.88525390625,18.96220073558323,5731.40234375,1990.2756021532098,292.7575248959703,-134.001953125,9.980459213256836,23.434167480468773,54.392189025878906,-429.32098388671875,23.58,2021-10-26 06,49.0
732,2021-11-02 00,41.75,218.0,24.0,1,1,15.3,500.0,3.268,31.2,52.3,988.0,1017.1561581029655,29.10708583734049,1004.5159303829041,16.466858117279116,101.11962890625,29.516335010240198,5592.22314453125,1104.436759320952,247.2727211408788,-234.029296875,3.5814921855926514,15.382531738281273,-105.532470703125,-295.3514099121094,16.32,2021-11-02 00,50.1
728,2021-11-02 00,52.25,219.25,nan,0,0,16.6,610.0,2.977,27.4,39.5,988.3,1015.9531606178857,27.666356418666965,1003.6810985152113,15.39429431599251,129.39501953125,112.65199580640116,5482.34521484375,1888.4979842273149,209.6508975141355,-234.029296875,1.9161326885223389,8.520196533203148,-164.3129425048828,-26.73014259338379,12.6,2021-11-02 00,36.6
737,2021-11-04 06,40.75,158.25,0.0,1,1,33.1,350.0,9.151,57.8,64.8,981.3,1018.07024364547,36.790580559532486,1002.3111528818331,21.031489795895595,143.59814453125,109.3905179576162,5643.5419921875,1986.3671613244737,250.55552763968674,-151.15625,6.144585609436035,15.632470703125023,162.41249084472656,-205.48580932617188,31.18,2021-11-04 06,40.7
754,2021-11-10 06,37.5,159.25,nan,0,0,13.5,360.0,3.664,32.3,55.0,1001.1,1012.8452277018221,11.698499186197068,1009.1805951267328,8.033866611107783,175.84228515625,-5.388078020984427,5733.69384765625,1991.2598577549363,280.9745198126398,-327.71337890625,6.416621208190918,21.053247070312523,67.38313293457031,-124.96021270751953,17.46,2021-11-10 06,34.1
786,2021-11-19 18,41.75,199.75,nan,0,0,17.2,520.0,3.455,32.9,47.0,994.7,1021.4579502452629,26.7821079601066,1009.8657318243359,15.189889539179603,161.57666015625,39.09085373324393,5599.947265625,1587.1607881422333,297.860946346271,-300.6962890625,3.7341561317443848,12.836358642578148,-165.90589904785156,-333.748779296875,15.12,2021-11-19 18,45.0
796,2021-11-21 06,41.75,213.5,30.0,0,1,7.6,360.0,1.999,19.8,44.5,1010.2,1022.7673546696701,12.544515314201362,1020.5652771237812,10.342437768312493,174.068359375,127.477690405542,5606.29541015625,1663.023478227264,288.7439538580951,-253.09765625,3.8670849800109863,13.238702392578148,-399.3495178222656,-308.6654968261719,13.26,2021-11-21 06,52.5
