label,id,when,lat,lon,p_centre,p_env,depth,fit_depth,scale_km,fit_rms,grad_hpa_per_100km,vg_kt,vgeo_kt,max_step_km,season,month,stratum
1,2021202225,2022-01-11 00,49.5,188.0,976.4,989.8,13.5,26.6,1200.0,0.59,2.213,24.0,27.2,549.0,2021,1,s0068
0,pool_2022010912_54_149,2022-01-09 12,53.5,149.0,1000.2,1017.9,17.7,20.5,680.0,0.76,3.01,27.9,34.9,0.0,2021,1,s0068
0,pool_2022011506_47_152,2022-01-15 06,47.0,152.0,987.3,1005.3,17.9,18.7,500.0,1.42,3.735,32.9,47.7,0.0,2021,1,s0068
0,pool_2022012000_45_163,2022-01-20 00,45.25,162.75,980.2,996.9,16.8,18.7,630.0,0.76,2.969,29.4,39.0,0.0,2021,1,s0068
1,2021202226,2022-01-11 06,43.0,137.25,994.6,1015.0,20.4,20.2,410.0,1.37,4.924,39.5,67.4,533.0,2021,1,s0069
0,pool_2022012612_46_210,2022-01-26 12,46.0,210.0,991.2,1013.7,22.5,25.9,650.0,2.1,3.982,37.0,51.7,0.0,2021,1,s0069
0,pool_2022010412_43_182,2022-01-04 12,43.25,182.5,982.8,999.8,17.0,21.7,770.0,0.67,2.813,29.9,38.3,0.0,2021,1,s0069
0,pool_2022010600_43_155,2022-01-06 00,43.25,155.25,985.4,1008.4,23.0,22.7,390.0,2.21,5.818,43.7,79.2,0.0,2021,1,s0069
1,2021202227,2022-01-12 18,41.75,160.25,985.3,999.2,13.9,15.4,560.0,1.14,2.746,28.0,38.5,542.0,2021,1,s0070
0,pool_2022011212_42_221,2022-01-12 12,42.25,220.75,996.3,1014.5,18.2,17.3,340.0,1.37,5.089,38.4,70.6,0.0,2021,1,s0070
0,pool_2022012118_46_199,2022-01-21 18,46.25,199.0,976.8,995.2,18.4,22.5,710.0,1.09,3.168,31.4,40.9,0.0,2021,1,s0070
0,pool_2022010612_45_184,2022-01-06 12,45.0,184.5,972.9,991.6,18.7,21.2,570.0,2.44,3.718,34.4,49.1,0.0,2021,1,s0070
1,2021202228,2022-01-18 12,35.75,159.5,987.9,999.1,11.2,12.5,620.0,0.97,2.013,24.1,32.1,440.0,2021,1,s0071
0,pool_2022010700_33_149,2022-01-07 00,33.25,149.25,1001.7,1017.0,15.3,14.6,240.0,1.2,6.084,40.7,103.6,0.0,2021,1,s0071
0,pool_2022010706_34_154,2022-01-07 06,33.75,153.5,997.3,1013.0,15.7,14.9,220.0,1.13,6.787,42.0,114.0,0.0,2021,1,s0071
1,2021202229,2022-01-20 12,35.0,152.5,999.8,1009.0,9.1,9.2,460.0,0.36,1.993,22.7,32.4,528.0,2021,1,s0072
1,2021202230,2022-01-24 18,33.5,154.25,992.7,1011.5,18.7,20.0,570.0,1.54,3.501,37.2,59.2,541.0,2021,1,s0073
0,pool_2022012418_34_154,2022-01-24 18,33.5,154.25,992.7,1011.5,18.7,20.0,570.0,1.54,3.501,37.2,59.2,0.0,2021,1,s0073
0,pool_2022010206_36_188,2022-01-02 06,36.0,187.75,988.7,1008.9,20.2,20.1,400.0,1.73,5.022,42.1,79.7,0.0,2021,1,s0073
0,pool_2022011418_38_198,2022-01-14 18,38.5,197.75,988.5,1008.9,20.4,22.6,640.0,0.73,3.529,36.4,52.9,0.0,2021,1,s0073
1,2021202231,2022-01-27 06,35.25,159.75,994.2,1007.7,13.5,13.1,320.0,0.69,4.086,34.3,66.1,535.0,2021,1,s0074
0,pool_2022010212_39_186,2022-01-02 12,38.75,186.0,989.7,1006.9,17.2,17.6,470.0,1.44,3.754,35.1,56.0,0.0,2021,1,s0074
1,2021202232,2022-01-29 00,28.75,178.75,996.9,1010.6,13.6,13.3,360.0,1.44,3.706,35.5,71.9,537.0,2021,1,s0075
1,2021202233,2022-01-31 12,41.5,170.75,980.9,998.6,17.7,17.0,270.0,1.73,6.28,41.2,88.5,546.0,2021,2,s0076
0,pool_2022020600_43_200,2022-02-06 00,43.0,200.25,989.6,1009.0,19.5,18.8,340.0,1.14,5.529,40.5,75.7,0.0,2021,2,s0076
0,pool_2022021612_39_148,2022-02-16 12,39.25,148.25,994.0,1010.4,16.5,16.3,370.0,1.81,4.41,36.6,65.1,0.0,2021,2,s0076
0,pool_2022021806_44_165,2022-02-18 06,44.25,165.0,986.2,1006.3,20.1,24.5,720.0,1.7,3.405,34.0,45.5,0.0,2021,2,s0076
1,2021202234,2022-02-02 12,39.5,171.0,996.0,995.8,-0.2,-0.2,430.0,0.07,-0.043,nan,nan,545.0,2021,2,s0077
1,2021202235,2022-02-05 06,35.25,156.75,992.6,1004.2,11.6,11.6,460.0,0.93,2.53,27.1,40.9,541.0,2021,2,s0078
0,pool_2022022212_39_204,2022-02-22 12,39.0,204.25,1004.5,1020.7,16.2,16.3,500.0,0.9,3.254,32.0,48.3,0.0,2021,2,s0078
0,pool_2022021918_32_200,2022-02-19 18,32.5,200.0,1006.4,1022.1,15.7,15.5,440.0,1.31,3.519,35.1,61.1,0.0,2021,2,s0078
1,2021202236,2022-02-07 18,39.75,188.75,989.3,999.2,9.9,10.9,570.0,1.25,1.919,21.6,28.0,377.0,2021,2,s0079
1,2021202237,2022-02-12 00,32.5,163.0,980.3,1005.0,24.7,27.9,630.0,1.26,4.428,45.9,76.9,432.0,2021,2,s0080
0,pool_2022021200_32_163,2022-02-12 00,32.5,163.0,980.3,1005.0,24.7,27.9,630.0,1.26,4.428,45.9,76.9,0.0,2021,2,s0080
0,pool_2022021106_32_150,2022-02-11 06,32.25,150.0,990.2,1012.0,21.7,21.8,440.0,1.86,4.954,44.5,86.6,0.0,2021,2,s0080
0,pool_2022021100_33_148,2022-02-11 00,33.25,147.75,992.2,1016.2,24.0,23.5,380.0,2.25,6.177,48.6,105.1,0.0,2021,2,s0080
