label,id,when,lat,lon,p_centre,p_env,depth,fit_depth,scale_km,fit_rms,grad_hpa_per_100km,vg_kt,vgeo_kt,max_step_km,season,month,stratum,tend12,tend24,back_path_km
0,pool_2020120818_48_172,2020-12-08 18,47.5,172.0,986.0,1005.6,19.5,20.2,500.0,1.22,4.045,34.8,51.2,0.0,2020,12,t0017,-12.0,,613.0
0,pool_2020121812_48_198,2020-12-18 12,48.0,197.75,976.6,997.8,21.3,21.1,340.0,1.24,6.199,42.4,77.9,0.0,2020,12,t0017,-13.2,,889.0
0,pool_2020121106_48_203,2020-12-11 06,48.0,202.75,974.3,1005.6,31.2,30.8,390.0,1.39,7.905,52.3,99.3,0.0,2020,12,t0017,-14.3,,620.0
1,2020202121,2021-01-04 00,52.5,193.75,983.7,987.1,3.3,7.3,1200.0,0.83,0.612,6.9,7.2,544.0,2020,1,t0020,18.9,26.1,1028.0
0,pool_2021012506_51_159,2021-01-25 06,50.75,159.25,996.9,1013.9,16.9,18.7,580.0,2.01,3.23,29.4,38.9,0.0,2020,1,t0020,19.8,,1085.0
1,2020202122,2021-01-04 18,49.75,204.25,956.9,983.6,26.7,27.3,390.0,2.68,7.005,47.6,85.7,543.0,2020,1,t0021,-18.4,-18.5,1791.0
0,pool_2021011812_53_207,2021-01-18 12,53.25,207.0,965.0,1012.1,47.2,49.0,530.0,2.52,9.242,62.2,107.7,0.0,2020,1,t0021,-16.4,,814.0
0,pool_2021011806_51_206,2021-01-18 06,50.75,206.25,971.1,1012.2,41.0,42.6,510.0,2.62,8.362,58.1,100.8,0.0,2020,1,t0021,-16.9,,937.0
1,2020202123,2021-01-05 00,50.75,206.5,952.6,981.1,28.5,29.5,440.0,3.18,6.699,47.6,80.7,548.0,2020,1,t0022,-14.1,-31.1,1448.0
0,pool_2021011712_52_161,2021-01-17 12,51.75,161.0,974.4,1010.5,36.1,41.9,670.0,1.86,6.251,50.3,74.3,0.0,2020,1,t0022,-14.0,,681.0
0,pool_2021011800_46_207,2021-01-18 00,45.75,207.0,981.2,1012.8,31.5,34.0,580.0,1.54,5.867,48.4,76.4,0.0,2020,1,t0022,-12.4,,921.0
0,pool_2021011212_55_225,2021-01-12 12,55.25,225.0,966.4,991.4,25.0,24.3,300.0,1.6,8.115,47.2,92.2,0.0,2020,1,t0022,-12.4,,608.0
1,2020202125,2021-01-07 06,50.5,212.75,968.6,995.4,26.8,30.8,630.0,1.81,4.883,41.4,59.1,542.0,2020,1,t0024,0.2,15.4,991.0
0,pool_2021011900_53_165,2021-01-19 00,53.25,165.25,971.5,1000.8,29.3,31.7,550.0,2.34,5.756,44.6,67.0,0.0,2020,1,t0024,3.0,,188.0
0,pool_2021011818_53_164,2021-01-18 18,53.25,163.5,968.9,1002.0,33.1,36.0,580.0,2.78,6.203,47.8,72.3,0.0,2020,1,t0024,0.9,,105.0
0,pool_2021012718_48_146,2021-01-27 18,48.25,145.75,990.1,1014.4,24.3,24.3,400.0,2.04,6.063,43.8,75.8,0.0,2020,1,t0024,-1.9,,401.0
1,2020202126,2021-01-07 06,39.5,178.25,992.1,1009.4,17.3,16.8,340.0,1.36,4.929,38.4,72.3,532.0,2020,1,t0025,-5.8,-10.0,2172.0
0,pool_2021010706_40_178,2021-01-07 06,39.5,178.25,992.1,1009.4,17.3,16.8,340.0,1.36,4.929,38.4,72.3,0.0,2020,1,t0025,-5.8,,1076.0
