label,id,when,lat,lon,p_centre,p_env,depth,fit_depth,scale_km,fit_rms,grad_hpa_per_100km,vg_kt,vgeo_kt,max_step_km,season,month,stratum
1,2020202139,2021-02-14 12,28.75,131.25,1005.7,1013.5,7.8,8.4,550.0,0.4,1.53,21.2,29.7,547.0,2020,2,
1,2020202140,2021-02-17 06,45.75,143.75,976.0,1000.6,24.6,27.9,600.0,1.93,4.646,41.0,60.5,542.0,2020,2,
1,2020202141,2021-02-24 12,54.5,208.25,992.6,1015.7,23.1,24.7,550.0,1.09,4.482,36.5,51.4,369.0,2020,2,
1,2020202142,2021-02-27 18,48.75,160.0,980.2,1014.6,34.5,36.3,520.0,2.1,6.989,52.1,86.8,540.0,2020,2,
1,2020202143,2021-04-07 12,40.25,154.75,973.6,1012.3,38.8,38.6,410.0,3.1,9.403,62.4,135.8,230.0,2020,4,
1,2020202144,2021-04-25 18,26.75,146.0,994.1,1008.9,14.8,17.5,700.0,0.4,2.501,33.8,51.9,533.0,2020,4,
1,2021202201,2021-10-01 00,58.5,208.0,980.1,1003.1,23.0,28.5,730.0,1.31,3.908,33.7,42.8,540.0,2021,10,
1,2021202202,2021-10-01 00,32.0,140.25,957.6,1009.7,52.1,50.3,270.0,2.81,18.636,83.7,328.2,321.0,2021,10,
1,2021202203,2021-10-20 06,53.0,209.0,988.8,995.7,7.0,14.8,1200.0,0.38,1.232,13.5,14.4,543.0,2021,10,
1,2021202204,2021-10-21 00,50.75,173.25,974.9,1005.2,30.2,32.0,560.0,1.52,5.715,45.3,68.9,482.0,2021,10,
1,2021202205,2021-10-23 00,54.75,203.75,965.4,990.6,25.2,27.4,560.0,1.93,4.895,39.2,55.9,549.0,2021,10,
1,2021202206,2021-10-23 06,39.5,157.5,992.5,1014.1,21.6,22.9,570.0,0.89,4.011,38.5,58.8,436.0,2021,10,
1,2021202207,2021-10-25 06,29.0,137.25,1006.7,1016.2,9.5,9.5,390.0,0.65,2.448,27.4,47.1,393.0,2021,10,
1,2021202208,2021-11-02 00,41.75,218.0,988.0,1003.4,15.3,16.3,500.0,1.32,3.268,31.2,45.8,398.0,2021,11,
1,2021202209,2021-11-03 06,37.5,150.75,994.4,1014.1,19.8,20.7,520.0,1.98,3.978,38.1,61.0,344.0,2021,11,
1,2021202210,2021-11-20 12,36.25,162.75,997.2,1013.7,16.5,15.7,300.0,1.52,5.241,39.3,82.7,427.0,2021,11,
1,2021202211,2021-11-21 12,43.75,216.0,1006.9,1016.2,9.4,9.1,390.0,0.43,2.333,22.3,31.5,520.0,2021,11,
1,2021202212,2021-12-01 00,46.5,138.75,982.1,1013.4,31.4,35.0,630.0,1.59,5.557,47.2,71.5,546.0,2021,12,
1,2021202213,2021-12-08 12,47.0,170.5,993.1,1017.6,24.5,24.3,410.0,1.13,5.921,43.7,75.6,538.0,2021,12,
1,2021202214,2021-12-12 00,46.75,160.25,979.7,1007.9,28.2,31.7,610.0,1.39,5.193,44.4,66.5,537.0,2021,12,
1,2021202215,2021-12-15 12,46.25,154.75,1004.9,1009.2,4.3,4.5,280.0,0.22,1.609,15.1,20.8,547.0,2021,12,
1,2021202216,2021-12-16 18,41.5,141.75,1005.0,1012.7,7.7,10.0,790.0,0.31,1.264,15.5,17.8,538.0,2021,12,
1,2021202217,2021-12-21 06,46.25,176.25,988.9,1015.6,26.7,30.0,650.0,1.0,4.62,41.4,59.7,536.0,2021,12,
1,2021202218,2021-12-24 06,35.25,172.75,992.6,1005.8,13.2,15.7,680.0,0.57,2.306,27.6,37.3,543.0,2021,12,
1,2021202219,2021-12-25 06,41.5,154.5,994.5,1005.3,10.9,11.1,290.0,1.17,3.816,30.1,53.7,350.0,2021,12,
1,2021202220,2021-12-28 18,39.0,166.5,1003.6,1011.8,8.2,9.0,620.0,0.31,1.455,17.6,21.6,334.0,2021,12,
1,2021202221,2021-12-31 06,45.0,158.5,994.9,1005.0,10.1,19.9,1200.0,2.02,1.66,19.6,21.9,538.0,2021,1,
1,2021202222,2021-12-31 18,58.75,212.25,993.7,1011.4,17.7,28.2,960.0,1.18,2.935,27.5,32.0,148.0,2021,1,
1,2021202223,2022-01-04 06,42.5,180.75,981.2,999.2,18.0,22.7,750.0,1.04,3.026,31.8,41.8,550.0,2021,1,
1,2021202224,2022-01-07 06,45.25,193.25,979.0,994.5,15.5,18.8,660.0,1.44,2.841,28.6,37.3,550.0,2021,1,
1,2021202225,2022-01-11 00,49.5,188.0,976.4,989.8,13.5,26.6,1200.0,0.59,2.213,24.0,27.2,549.0,2021,1,
1,2021202226,2022-01-11 06,43.0,137.25,994.6,1015.0,20.4,20.2,410.0,1.37,4.924,39.5,67.4,533.0,2021,1,
1,2021202227,2022-01-12 18,41.75,160.25,985.3,999.2,13.9,15.4,560.0,1.14,2.746,28.0,38.5,542.0,2021,1,
1,2021202228,2022-01-18 12,35.75,159.5,987.9,999.1,11.2,12.5,620.0,0.97,2.013,24.1,32.1,440.0,2021,1,
1,2021202229,2022-01-20 12,35.0,152.5,999.8,1009.0,9.1,9.2,460.0,0.36,1.993,22.7,32.4,528.0,2021,1,
1,2021202230,2022-01-24 18,33.5,154.25,992.7,1011.5,18.7,20.0,570.0,1.54,3.501,37.2,59.2,541.0,2021,1,
1,2021202231,2022-01-27 06,35.25,159.75,994.2,1007.7,13.5,13.1,320.0,0.69,4.086,34.3,66.1,535.0,2021,1,
1,2021202232,2022-01-29 00,28.75,178.75,996.9,1010.6,13.6,13.3,360.0,1.44,3.706,35.5,71.9,537.0,2021,1,
1,2021202233,2022-01-31 12,41.5,170.75,980.9,998.6,17.7,17.0,270.0,1.73,6.28,41.2,88.5,546.0,2021,2,
1,2021202234,2022-02-02 12,39.5,171.0,996.0,995.8,-0.2,-0.2,430.0,0.07,-0.043,nan,nan,545.0,2021,2,
1,2021202235,2022-02-05 06,35.25,156.75,992.6,1004.2,11.6,11.6,460.0,0.93,2.53,27.1,40.9,541.0,2021,2,
1,2021202236,2022-02-07 18,39.75,188.75,989.3,999.2,9.9,10.9,570.0,1.25,1.919,21.6,28.0,377.0,2021,2,
1,2021202237,2022-02-12 00,32.5,163.0,980.3,1005.0,24.7,27.9,630.0,1.26,4.428,45.9,76.9,432.0,2021,2,
